################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4262467184626679E-01 a         1     0     1     1     1
  2.3003544148386270E+00 a         2     0     1     1     2
  6.7078399531124999E-01 a         3     0     1     1     3
  4.5614634678781432E+00 a         4     0     1     1     4
  1.5825319020953610E+00 a         5     0     1     1     5
 -2.6809802198483310E+00 a         6     0     1     1     6
 -6.7354310561224573E-01 a         7     0     1     1     7
  3.0175619642787379E+00 a         8     0     1     1     8
  2.1289830336718292E+00 a         9     0     1     1     9
 -1.2569132602531625E+00 a        10     0     1     1    10
  6.6826921430399278E-01 a        11     0     1     1    11
 -1.7556405683243219E+00 a        12     0     1     1    12
 -3.5914142435806058E+00 a        13     0     1     1    13
  1.3428756094872056E+00 a        14     0     1     1    14
 -1.7475621875965535E+00 a        15     0     1     1    15
 -6.1325458400201793E-01 a        16     0     1     1    16
  2.2759852397966811E+00 a        17     0     1     1    17
  5.0778127501372006E-01 a        18     0     1     1    18
  2.1862202711867296E+00 a        19     0     1     1    19
  1.5994359296865661E+00 a        20     0     1     1    20
 -1.7171827807886043E-02 a        21     0     1     1    21
  3.8190989325137825E+00 a        22     0     1     1    22
 -2.3267906713038604E+00 a        23     0     1     1    23
  8.2235443032621702E-01 a        24     0     1     1    24
 -8.4182623773699072E-01 a        25     0     1     1    25
  2.7191959329560311E+00 a        26     0     2     1     1
 -3.1491227314423624E+00 a        27     0     2     1     2
 -3.2919512508802908E+00 a        28     0     2     1     3
 -1.8644997428238961E+00 a        29     0     2     1     4
 -3.0800468380822967E+00 a        30     0     2     1     5
 -9.1968214076991336E-02 a        31     0     2     1     6
  5.3853619341370189E+00 a        32     0     2     1     7
  4.4593602074973475E+00 a        33     0     2     1     8
  7.4006724979601179E-01 a        34     0     2     1     9
 -4.4637483517456396E+00 a        35     0     2     1    10
  2.8533209320865027E+00 a        36     0     2     1    11
  1.7839683242901705E+00 a        37     0     2     1    12
  1.1687632301536626E+00 a        38     0     2     1    13
