################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0369508564226816E-01 a         1     0     1     1     1
  1.2340037006378233E+00 a         2     0     1     1     2
  9.0024963654588930E-01 a         3     0     1     1     3
  8.1969454211333226E-01 a         4     0     1     1     4
 -1.5404386582075240E-02 a         5     0     1     1     5
 -3.9356286979589822E-01 a         6     0     1     1     6
  1.0562860442442621E+00 a         7     0     1     1     7
 -5.0003043656717527E-01 a         8     0     1     1     8
  4.5260695331664663E-01 a         9     0     1     1     9
 -9.8883829289507938E-02 a        10     0     1     1    10
 -6.6710874989250235E-01 a        11     0     1     1    11
 -6.3772001539676682E-01 a        12     0     1     1    12
  5.5864104064669373E-01 a        13     0     1     1    13
  1.2465391887342159E-01 a        14     0     1     1    14
  1.4578782811983730E+00 a        15     0     1     1    15
 -5.3841709632651844E-03 a        16     0     1     1    16
  7.5053434462241053E-02 a        17     0     1     1    17
  1.5047516790392551E-01 a        18     0     1     1    18
 -1.4244759462422141E+00 a        19     0     1     1    19
  2.5920884424576346E-01 a        20     0     1     1    20
 -8.7210635774500256E-01 a        21     0     1     1    21
  4.9218569059704770E-01 a        22     0     1     1    22
  8.9437800472560725E-01 a        23     0     1     1    23
  4.3492583494416931E-01 a        24     0     1     1    24
  5.5143716531050890E-01 a        25     0     1     1    25
 -2.0128803434315490E+00 a        26     0     2     1     1
 -2.4706162482652108E+00 a        27     0     2     1     2
 -1.9868432205540256E+00 a        28     0     2     1     3
 -8.3711546199270004E-01 a        29     0     2     1     4
  1.2966009975780696E-01 a        30     0     2     1     5
 -5.4383037937931540E-02 a        31     0     2     1     6
 -1.6059407906908880E+00 a        32     0     2     1     7
  7.8784857416561926E-01 a        33     0     2     1     8
 -7.4920247685998909E-01 a        34     0     2     1     9
 -4.6862078438046162E-01 a        35     0     2     1    10
  1.2710968964956877E+00 a        36     0     2     1    11
  1.9283360499387263E+00 a        37     0     2     1    12
 -4.8162370839776902E-01 a        38     0     2     1    13
 -1.0614453320532205E-03 a        39     0     2     1    14
 -2.2928743780654166E+00 a        40     0     2     1    15
  7.3515669538769446E-01 a        41     0     2     1    16
 -1.4045315390013897E+00 a        42     0     2     1    17
 -1.0959043717357952E-01 a        43     0     2     1    18
  7.2114532539442000E-01 a        44     0     2     1    19
 -1.7203980706210056E-01 a        45     0     2     1    20
  1.6537802310677681E+00 a        46     0     2     1    21
 -9.1494754702390024E-01 a        47     0     2     1    22
 -1.6528082316156449E+00 a        48     0     2     1    23
 -6.9123059432030010E-01 a        49     0     2     1    24
 -1.2582391615575788E+00 a        50     0     2     1    25
  7.8648172215892886E-01 a        51     0     3     1     1
 -2.4730982142332736E-01 a        52     0     3     1     2
 -1.0402529806702562E-01 a        53     0     3     1     3
  6.9933486966322100E-01 a        54     0     3     1     4
 -7.2849367369468254E-01 a        55     0     3     1     5
  1.0026565037645332E+00 a        56     0     3     1     6
  2.9586317919255822E-01 a        57     0     3     1     7
  6.6418059717047218E-01 a        58     0     3     1     8
 -1.5629196011922766E+00 a        59     0     3     1     9
 -8.7590692683532131E-02 a        60     0     3     1    10
  8.6844962479909211E-03 a        61     0     3     1    11
 -1.6319000480614569E+00 a        62     0     3     1    12
  1.0637123579776039E-01 a        63     0     3     1    13
  3.6309197710448571E-01 a        64     0     3     1    14
 -1.1934253277114042E+00 a        65     0     3     1    15
  1.8886807694583013E-01 a        66     0     3     1    16
 -4.1617729536908016E-01 a        67     0     3     1    17
  6.4850244354186026E-01 a        68     0     3     1    18
 -2.3983840242602195E-01 a        69     0     3     1    19
 -6.9478810424436999E-01 a        70     0     3     1    20
 -1.1713900985429724E+00 a        71     0     3     1    21
  5.8436180840147889E-01 a        72     0     3     1    22
  4.5333141894652074E-01 a        73     0     3     1    23
 -4.3698865183208341E-01 a        74     0     3     1    24
  6.0091987716743112E-01 a        75     0     3     1    25
  1.1256867818960556E+00 a        76     0     4     1     1
  7.6584819643462521E-01 a        77     0     4     1     2
  5.3595370009209464E-01 a        78     0     4     1     3
 -1.3192553539450699E-01 a        79     0     4     1     4
 -1.7951699421153600E-01 a        80     0     4     1     5
  9.4624369336902422E-02 a        81     0     4     1     6
 -1.4993380039645018E-01 a        82     0     4     1     7
 -9.2955915470026529E-01 a        83     0     4     1     8
  8.5571342429909381E-02 a        84     0     4     1     9
  9.9388482900231934E-01 a        85     0     4     1    10
  1.8721474005562877E+00 a        86     0     4     1    11
 -1.4391651074243689E-01 a        87     0     4     1    12
  7.4041178890502946E-01 a        88     0     4     1    13
 -4.6297004117127577E-01 a        89     0     4     1    14
 -4.6081003288766814E-01 a        90     0     4     1    15
  2.7364706649544485E-01 a        91     0     4     1    16
  8.2231410948451755E-01 a        92     0     4     1    17
 -9.2208560451766464E-01 a        93     0     4     1    18
 -3.8072554098742012E-01 a        94     0     4     1    19
  2.1679718383924285E-01 a        95     0     4     1    20
 -9.1444773004635116E-01 a        96     0     4     1    21
  6.0883655104375289E-01 a        97     0     4     1    22
 -7.1125061751489282E-01 a        98     0     4     1    23
  1.5237379989825535E+00 a        99     0     4     1    24
  6.5308246960714433E-01 a       100     0     4     1    25
  3.5625040695325816E-01 a       101     0     5     1     1
  4.8377451737208660E-01 a       102     0     5     1     2
 -3.6614872809778842E-01 a       103     0     5     1     3
  2.0936328558798573E-01 a       104     0     5     1     4
 -1.1489126828202764E-01 a       105     0     5     1     5
  1.7043561441531860E-01 a       106     0     5     1     6
 -2.0050982469861073E-01 a       107     0     5     1     7
 -4.6333830933896386E-01 a       108     0     5     1     8
  1.9562409661708097E-01 a       109     0     5     1     9
 -9.0777822449847723E-01 a       110     0     5     1    10
  4.6202975089430437E-01 a       111     0     5     1    11
 -2.3652313556592766E-01 a       112     0     5     1    12
  2.4996284551526338E-01 a       113     0     5     1    13
  5.1560062607645785E-01 a       114     0     5     1    14
  4.9341920264326417E-01 a       115     0     5     1    15
 -5.0073527476794888E-02 a       116     0     5     1    16
  2.8188127788421202E-01 a       117     0     5     1    17
 -3.1790535789866514E-01 a       118     0     5     1    18
 -3.0658053320675344E-01 a       119     0     5     1    19
 -1.5837746585788623E-01 a       120     0     5     1    20
 -1.1573545301263855E-01 a       121     0     5     1    21
 -3.0285239598506885E-02 a       122     0     5     1    22
  1.8784513349928839E-01 a       123     0     5     1    23
 -7.5616335681667912E-01 a       124     0     5     1    24
 -2.8015436948134304E-01 a       125     0     5     1    25
 -1.4856217102117992E+00 a       126     0     6     1     1
  9.6450655784344042E-01 a       127     0     6     1     2
  2.3083977718283996E-01 a       128     0     6     1     3
 -6.5454504907261946E-01 a       129     0     6     1     4
  8.6352623565380615E-01 a       130     0     6     1     5
 -3.0896482617885330E+00 a       131     0     6     1     6
 -4.4358070594805005E-01 a       132     0     6     1     7
  4.8813093367571211E-02 a       133     0     6     1     8
  3.4560485940854506E+00 a       134     0     6     1     9
  1.5906433046358495E+00 a       135     0     6     1    10
 -1.7840418784028325E-01 a       136     0     6     1    11
  2.7319771195639402E+00 a       137     0     6     1    12
 -2.2121474974815358E-01 a       138     0     6     1    13
  6.0603365813582633E-01 a       139     0     6     1    14
  3.4090809760075085E+00 a       140     0     6     1    15
  1.0237011598266756E+00 a       141     0     6     1    16
  2.6227702603939285E-01 a       142     0     6     1    17
 -1.6438124110013725E+00 a       143     0     6     1    18
 -1.1564746617105898E-01 a       144     0     6     1    19
  1.2703456845848105E+00 a       145     0     6     1    20
  5.9968981384514952E-01 a       146     0     6     1    21
 -6.7891329374514486E-01 a       147     0     6     1    22
  6.4087607888418163E-01 a       148     0     6     1    23
 -4.5328738148067588E-01 a       149     0     6     1    24
 -1.0187067143186794E+00 a       150     0     6     1    25
 -1.3473407139716609E+00 a       151     0     7     1     1
  1.1536293253467878E-02 a       152     0     7     1     2
 -2.4246470107639428E-01 a       153     0     7     1     3
 -1.6768129063614898E-01 a       154     0     7     1     4
  1.2149419642721107E+00 a       155     0     7     1     5
 -5.5084142837976680E-01 a       156     0     7     1     6
  7.0380899447601342E-01 a       157     0     7     1     7
  3.1638125652456572E-01 a       158     0     7     1     8
  9.8637612706126687E-01 a       159     0     7     1     9
 -9.7915555568485257E-01 a       160     0     7     1    10
 -2.7062359201236323E+00 a       161     0     7     1    11
  3.9529722031611852E-01 a       162     0     7     1    12
 -1.2917773834948993E+00 a       163     0     7     1    13
  8.0761038621447634E-01 a       164     0     7     1    14
 -3.5624075041134989E-02 a       165     0     7     1    15
 -1.3594548712572083E-01 a       166     0     7     1    16
 -3.5323302268509621E-01 a       167     0     7     1    17
  1.6646984246415639E+00 a       168     0     7     1    18
  1.8178891249965494E+00 a       169     0     7     1    19
  3.9748135772979781E-01 a       170     0     7     1    20
  1.7419311367580453E-01 a       171     0     7     1    21
 -9.7275983143072986E-01 a       172     0     7     1    22
  1.2163820523524091E+00 a       173     0     7     1    23
 -8.4634642474406274E-01 a       174     0     7     1    24
 -8.4009243161194869E-01 a       175     0     7     1    25
  5.2030778988600934E-01 a       176     0     8     1     1
 -2.2142490792018119E+00 a       177     0     8     1     2
 -2.1083943155819487E+00 a       178     0     8     1     3
 -2.6372432602902396E-01 a       179     0     8     1     4
 -6.4256095126571666E-01 a       180     0     8     1     5
  2.2616423178084415E+00 a       181     0     8     1     6
  2.0165174898418012E-01 a       182     0     8     1     7
  2.0966774806235763E-01 a       183     0     8     1     8
 -2.7051874480220772E+00 a       184     0     8     1     9
 -7.8576789974395689E-01 a       185     0     8     1    10
  6.3235888123649289E-02 a       186     0     8     1    11
 -9.0387230906675042E-01 a       187     0     8     1    12
  3.4335204066546099E-01 a       188     0     8     1    13
 -1.2286585398057439E+00 a       189     0     8     1    14
 -4.1434783688816692E+00 a       190     0     8     1    15
 -5.7913506374853119E-01 a       191     0     8     1    16
 -4.3456458627441402E-01 a       192     0     8     1    17
  2.2628225811410494E+00 a       193     0     8     1    18
  1.6154800937655129E+00 a       194     0     8     1    19
 -7.1693443934201195E-01 a       195     0     8     1    20
  1.2253473963342262E-01 a       196     0     8     1    21
 -1.3870074738500712E-01 a       197     0     8     1    22
 -5.1143170700458729E-01 a       198     0     8     1    23
  2.4455126504879113E-01 a       199     0     8     1    24
  9.9641795407410994E-01 a       200     0     8     1    25
 -3.9534901759246838E-01 a       201     0     9     1     1
 -8.7706990582116817E-01 a       202     0     9     1     2
  7.2692284777315958E-02 a       203     0     9     1     3
 -6.0896492541789171E-01 a       204     0     9     1     4
 -1.0417245688635790E+00 a       205     0     9     1     5
  4.8092213367856457E-01 a       206     0     9     1     6
 -4.4816128803379637E-02 a       207     0     9     1     7
 -2.3827103520514881E-01 a       208     0     9     1     8
 -1.1893227780183813E-01 a       209     0     9     1     9
 -8.9150439076710475E-01 a       210     0     9     1    10
 -1.0529593301611466E-01 a       211     0     9     1    11
 -1.8469989127010586E-01 a       212     0     9     1    12
  8.3571499069167865E-01 a       213     0     9     1    13
 -7.9589442228227211E-02 a       214     0     9     1    14
  1.1332733946317473E-01 a       215     0     9     1    15
 -8.1644442118701333E-01 a       216     0     9     1    16
  7.7424592955309859E-02 a       217     0     9     1    17
