################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.5909822918232154E-02 a         1     0     1     1     1
  8.5985488838095633E-02 a         2     0     1     1     2
 -5.6804747349290530E-01 a         3     0     1     1     3
 -5.5160438697596703E-01 a         4     0     1     1     4
  3.0148702088124216E-02 a         5     0     1     1     5
 -2.1207020919051471E+00 a         6     0     1     1     6
  1.5282785753926573E+00 a         7     0     1     1     7
 -2.7840961687401455E-01 a         8     0     1     1     8
 -3.9636791543807964E-01 a         9     0     1     1     9
 -6.9316737851493515E-01 a        10     0     1     1    10
  3.3955628863774917E-01 a        11     0     1     1    11
  5.4713687329035854E-01 a        12     0     1     1    12
 -3.3015205166870809E-01 a        13     0     1     1    13
 -1.2703984957682741E+00 a        14     0     1     1    14
 -2.2609613881398412E+00 a        15     0     1     1    15
  2.9952310037425369E+00 a        16     0     1     1    16
 -2.3309432625537232E+00 a        17     0     1     1    17
  3.1812975552425787E-01 a        18     0     1     1    18
  3.4729703510702403E-01 a        19     0     1     1    19
  2.1459525632521070E+00 a        20     0     1     1    20
  5.6410612797685178E-01 a        21     0     1     1    21
  2.2545355827346439E-01 a        22     0     1     1    22
  8.0856456180986427E-02 a        23     0     1     1    23
 -1.2538723904513833E+00 a        24     0     1     1    24
 -7.8305411191944574E-01 a        25     0     1     1    25
  1.2472843677606866E+00 a        26     0     2     1     1
 -2.9860094684188693E-01 a        27     0     2     1     2
  1.0578655600201736E-01 a        28     0     2     1     3
  2.1963535515321202E+00 a        29     0     2     1     4
 -6.6784185201559365E-01 a        30     0     2     1     5
  3.1525760961660354E+00 a        31     0     2     1     6
 -1.1198281394293161E+00 a        32     0     2     1     7
 -9.7183037295843444E-01 a        33     0     2     1     8
  1.4512175480418804E-01 a        34     0     2     1     9
  3.5022690713382543E-01 a        35     0     2     1    10
 -1.1113292568179975E+00 a        36     0     2     1    11
 -1.6852105444222600E+00 a        37     0     2     1    12
 -8.2296608751833644E-01 a        38     0     2     1    13
  3.5114265429074027E+00 a        39     0     2     1    14
  3.0816731913409181E+00 a        40     0     2     1    15
 -2.5045216123629785E+00 a        41     0     2     1    16
  3.1810347904933698E+00 a        42     0     2     1    17
  1.0758749716404807E+00 a        43     0     2     1    18
  6.4415313983971478E-01 a        44     0     2     1    19
 -2.6173523246776575E+00 a        45     0     2     1    20
 -2.5236042380483459E-01 a        46     0     2     1    21
 -1.9948719006891484E-02 a        47     0     2     1    22
 -8.8270916662279125E-02 a        48     0     2     1    23
  1.5665443654965245E+00 a        49     0     2     1    24
  4.6647749217113171E-01 a        50     0     2     1    25
  2.6454125054600395E+00 a        51     0     3     1     1
  8.9986998552059561E-01 a        52     0     3     1     2
 -2.6438881999375816E+00 a        53     0     3     1     3
  6.4260636403924809E-01 a        54     0     3     1     4
 -1.9354477896090470E+00 a        55     0     3     1     5
 -9.8854089112899501E-01 a        56     0     3     1     6
 -7.5708732556165459E-01 a        57     0     3     1     7
  1.2145144710506088E+00 a        58     0     3     1     8
 -3.3798865478143312E+00 a        59     0     3     1     9
  1.7146332401196732E-01 a        60     0     3     1    10
 -1.3194633742367576E+00 a        61     0     3     1    11
 -3.1578494347092234E-01 a        62     0     3     1    12
 -2.3861205934128922E+00 a        63     0     3     1    13
  9.0383809307047613E-01 a        64     0     3     1    14
  2.3811796293036736E+00 a        65     0     3     1    15
 -3.4942872563581910E+00 a        66     0     3     1    16
  2.4825186821483003E+00 a        67     0     3     1    17
 -2.1038546828765559E-01 a        68     0     3     1    18
 -3.0475867838086307E-01 a        69     0     3     1    19
 -1.4068023117478494E+00 a        70     0     3     1    20
  4.7670103036562078E-01 a        71     0     3     1    21
  1.9588119124021350E+00 a        72     0     3     1    22
  2.5887367747766517E+00 a        73     0     3     1    23
  7.5652302050965936E-01 a        74     0     3     1    24
  7.5008695096004774E-01 a        75     0     3     1    25
  1.2868820867537314E+00 a        76     0     4     1     1
  7.8008389701268270E-03 a        77     0     4     1     2
  4.8679004196958725E-01 a        78     0     4     1     3
 -6.1572308524983299E-01 a        79     0     4     1     4
  4.5090931743047707E-01 a        80     0     4     1     5
 -2.5890755194474502E-01 a        81     0     4     1     6
 -1.3598789096175867E+00 a        82     0     4     1     7
  1.3534267426425312E-01 a        83     0     4     1     8
  1.7208108929332886E+00 a        84     0     4     1     9
  4.7687047789864268E-01 a        85     0     4     1    10
  2.2742534528076934E+00 a        86     0     4     1    11
  6.1826380992338215E-01 a        87     0     4     1    12
  1.0767162884851620E+00 a        88     0     4     1    13
 -7.9481770471520619E-01 a        89     0     4     1    14
  7.0146605634918968E-01 a        90     0     4     1    15
  5.6568089341234085E-01 a        91     0     4     1    16
  1.3190153516186802E+00 a        92     0     4     1    17
 -1.0342425529482166E-01 a        93     0     4     1    18
 -3.6872136718457155E-02 a        94     0     4     1    19
 -2.5585146735583780E-01 a        95     0     4     1    20
 -6.1399056896518311E-01 a        96     0     4     1    21
 -1.6675204331462055E+00 a        97     0     4     1    22
  4.9632835422436605E-01 a        98     0     4     1    23
 -5.7461024117675463E-01 a        99     0     4     1    24
  2.7110866431894487E-01 a       100     0     4     1    25
 -7.4772773080108035E-01 a       101     0     5     1     1
 -5.5792244290409843E-01 a       102     0     5     1     2
 -6.8524083503971833E-01 a       103     0     5     1     3
 -3.2808940872131725E-01 a       104     0     5     1     4
  2.5022516776270909E-01 a       105     0     5     1     5
 -1.6628150603787033E+00 a       106     0     5     1     6
  5.7580008000704519E-01 a       107     0     5     1     7
  9.4960870374413600E-02 a       108     0     5     1     8
  1.7626422205193948E-01 a       109     0     5     1     9
 -6.8100304498235481E-02 a       110     0     5     1    10
  1.0571985976559735E+00 a       111     0     5     1    11
 -3.5957079091736704E-01 a       112     0     5     1    12
 -1.1016148887639525E+00 a       113     0     5     1    13
 -2.5613510465174338E-01 a       114     0     5     1    14
 -4.6577456751811080E-01 a       115     0     5     1    15
  5.9283793555530540E-01 a       116     0     5     1    16
  4.9421210266122773E-01 a       117     0     5     1    17
 -3.1339328045968468E-01 a       118     0     5     1    18
  4.2053015108619191E-01 a       119     0     5     1    19
  6.0736083923125100E-02 a       120     0     5     1    20
 -1.1559777533467079E+00 a       121     0     5     1    21
 -1.2325816951115156E+00 a       122     0     5     1    22
 -1.3959062439370411E+00 a       123     0     5     1    23
  9.9666948456950766E-01 a       124     0     5     1    24
 -1.8360630951179941E+00 a       125     0     5     1    25
 -3.2368339489157751E+00 a       126     0     6     1     1
 -2.4826187139153735E+00 a       127     0     6     1     2
  2.8385243017595485E+00 a       128     0     6     1     3
 -1.2118342655687913E+00 a       129     0     6     1     4
  2.8554426622127549E+00 a       130     0     6     1     5
 -2.4348153373197770E+00 a       131     0     6     1     6
  6.4918357331177334E-01 a       132     0     6     1     7
  1.0844498215405740E-01 a       133     0     6     1     8
  2.0031538420483850E+00 a       134     0     6     1     9
  6.3482695233717579E-01 a       135     0     6     1    10
  1.9082748482757643E+00 a       136     0     6     1    11
  1.1401154842416721E+00 a       137     0     6     1    12
  6.4905638461825923E-03 a       138     0     6     1    13
 -3.9603205581191250E+00 a       139     0     6     1    14
 -3.7461547515778455E+00 a       140     0     6     1    15
  5.2352024117852185E+00 a       141     0     6     1    16
 -6.4557821248754488E+00 a       142     0     6     1    17
 -1.8440526788996285E+00 a       143     0     6     1    18
 -3.2331465548270524E+00 a       144     0     6     1    19
  5.6952712095941980E+00 a       145     0     6     1    20
  5.1435974567629528E-01 a       146     0     6     1    21
 -2.4240536853606307E+00 a       147     0     6     1    22
 -3.0810352142361443E+00 a       148     0     6     1    23
 -4.8292359110827229E-02 a       149     0     6     1    24
 -9.7185362698053834E-01 a       150     0     6     1    25
 -4.7982018034275675E-01 a       151     0     7     1     1
  1.9734887674165749E+00 a       152     0     7     1     2
  3.5429657623365024E-01 a       153     0     7     1     3
  6.7641259679280516E-02 a       154     0     7     1     4
 -3.1205120720238799E-01 a       155     0     7     1     5
  1.6700970224609399E+00 a       156     0     7     1     6
  1.7558069841703230E-01 a       157     0     7     1     7
