################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5461959590236330E-01 a         1     0     1     1     1
  5.2578899020188707E-01 a         2     0     1     1     2
 -6.4906788592309506E-01 a         3     0     1     1     3
 -1.3955865540108578E+00 a         4     0     1     1     4
 -2.3964260250274055E-01 a         5     0     1     1     5
  9.0774363847157047E-01 a         6     0     1     1     6
  8.0970199688057609E-01 a         7     0     1     1     7
 -1.4768698990871185E-01 a         8     0     1     1     8
 -4.5540503362977852E-01 a         9     0     1     1     9
  2.0243676569873709E-02 a        10     0     1     1    10
  2.5990372477555324E-01 a        11     0     1     1    11
  1.0891017073781124E+00 a        12     0     1     1    12
 -6.6607045957570132E-01 a        13     0     1     1    13
  1.2383775805446344E+00 a        14     0     1     1    14
 -1.1974409447936012E+00 a        15     0     1     1    15
  2.4924654096372700E-01 a        16     0     1     1    16
 -4.8100963098796234E-01 a        17     0     1     1    17
  8.8064567157546414E-01 a        18     0     1     1    18
  1.1071752957135950E+00 a        19     0     1     1    19
  1.0677156694059393E+00 a        20     0     1     1    20
 -3.0956013861626869E-01 a        21     0     1     1    21
 -8.8366762830531775E-01 a        22     0     1     1    22
 -3.7690039321848212E-01 a        23     0     1     1    23
  2.0471147721559073E+00 a        24     0     1     1    24
  1.5199211724240894E-01 a        25     0     1     1    25
  9.6947648106386031E-01 a        26     0     2     1     1
 -2.1623152016627989E-01 a        27     0     2     1     2
  1.3751880033638095E+00 a        28     0     2     1     3
  2.2123620586701560E+00 a        29     0     2     1     4
 -5.3070593934589183E-01 a        30     0     2     1     5
  7.5648566524089378E-01 a        31     0     2     1     6
 -1.3192828008058102E+00 a        32     0     2     1     7
 -1.6740154009529407E-01 a        33     0     2     1     8
  6.0819176311047152E-01 a        34     0     2     1     9
  3.6074419428564097E-01 a        35     0     2     1    10
 -4.1794943322196737E-01 a        36     0     2     1    11
 -5.6276490528685452E-01 a        37     0     2     1    12
  7.7011714029866996E-01 a        38     0     2     1    13
 -1.1293993784425427E+00 a        39     0     2     1    14
  1.5491409023245128E+00 a        40     0     2     1    15
  4.8465113219910927E-01 a        41     0     2     1    16
  5.3219263508044334E-01 a        42     0     2     1    17
 -1.5775839043147046E+00 a        43     0     2     1    18
 -9.8954294971918710E-01 a        44     0     2     1    19
 -1.7712912306880022E+00 a        45     0     2     1    20
  5.7760753358328598E-01 a        46     0     2     1    21
  9.1775370877321727E-01 a        47     0     2     1    22
  1.3041338680471384E+00 a        48     0     2     1    23
