################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0359309347698857E-03 a         1     0     1     1     1
  1.1252100401796249E-01 a         2     0     1     1     2
  5.4406970420962174E-02 a         3     0     1     1     3
 -2.7653431924134131E-01 a         4     0     1     1     4
 -1.1081859990544601E-01 a         5     0     1     1     5
  1.7960113773751321E-01 a         6     0     1     1     6
  3.2665450438552190E-01 a         7     0     1     1     7
 -1.3113814700843804E+00 a         8     0     1     1     8
 -6.0795223216366295E-02 a         9     0     1     1     9
  9.0529041860758178E-02 a        10     0     1     1    10
  3.9921231825346221E-01 a        11     0     1     1    11
  2.8436553690331123E-01 a        12     0     1     1    12
  7.6095888752954047E-02 a        13     0     1     1    13
  5.0861538060519762E-01 a        14     0     1     1    14
 -6.1888115268509947E-01 a        15     0     1     1    15
  3.7693593638795725E-01 a        16     0     1     1    16
 -3.2816523894109197E-03 a        17     0     1     1    17
 -3.6680101985398339E-01 a        18     0     1     1    18
 -9.7548544347793653E-01 a        19     0     1     1    19
  2.4725186120643453E-01 a        20     0     1     1    20
 -7.4128427090161442E-01 a        21     0     1     1    21
  3.4567637321639845E-02 a        22     0     1     1    22
 -4.0843359378885113E-01 a        23     0     1     1    23
  1.3573997777048586E-02 a        24     0     1     1    24
 -1.5336987841170827E-02 a        25     0     1     1    25
  6.4984034691998482E-01 a        26     0     2     1     1
 -2.5635455431872783E-01 a        27     0     2     1     2
 -1.6866291519802887E+00 a        28     0     2     1     3
 -3.6571045560868276E-01 a        29     0     2     1     4
 -1.2598854059564795E+00 a        30     0     2     1     5
 -1.6660500636454603E+00 a        31     0     2     1     6
  6.4604970362189240E-01 a        32     0     2     1     7
  9.2143206544989753E-01 a        33     0     2     1     8
  1.2889530063867438E+00 a        34     0     2     1     9
  1.1698219380713160E+00 a        35     0     2     1    10
 -7.0314305505098162E-01 a        36     0     2     1    11
 -1.1220505413965511E+00 a        37     0     2     1    12
  8.5376986715659198E-01 a        38     0     2     1    13
 -2.1084690092547259E-01 a        39     0     2     1    14
  7.4018089057201017E-02 a        40     0     2     1    15
 -8.7010203290988486E-01 a        41     0     2     1    16
  2.6070209505005493E-01 a        42     0     2     1    17
  2.1854753232158060E+00 a        43     0     2     1    18
  1.8557358937206916E-01 a        44     0     2     1    19
 -7.9080389411168461E-01 a        45     0     2     1    20
  3.5986875311123284E-01 a        46     0     2     1    21
 -1.8489971701530266E+00 a        47     0     2     1    22
 -8.6044582378319490E-01 a        48     0     2     1    23
  1.4181872227754641E-01 a        49     0     2     1    24
  1.4367381465007117E-01 a        50     0     2     1    25
 -2.7087672346880665E-01 a        51     0     3     1     1
 -5.4854343425869501E-01 a        52     0     3     1     2
 -4.8090113748785884E-01 a        53     0     3     1     3
  2.2307181703182258E-01 a        54     0     3     1     4
 -5.2113349882815108E-01 a        55     0     3     1     5
 -6.0848280235939312E-01 a        56     0     3     1     6
 -9.6222180976488803E-01 a        57     0     3     1     7
  1.3003767485144342E+00 a        58     0     3     1     8
  3.7233162939298688E-02 a        59     0     3     1     9
 -1.5842847665551701E-01 a        60     0     3     1    10
 -5.5749314089579405E-01 a        61     0     3     1    11
 -9.1082246731399175E-01 a        62     0     3     1    12
 -9.1013600600597278E-01 a        63     0     3     1    13
 -1.7382386200116204E+00 a        64     0     3     1    14
  3.8912216085386719E-01 a        65     0     3     1    15
 -8.1880513743996275E-01 a        66     0     3     1    16
  2.6674311810081164E-01 a        67     0     3     1    17
 -4.6461506909351658E-01 a        68     0     3     1    18
  1.0836112821339379E+00 a        69     0     3     1    19
  5.4594096409322646E-01 a        70     0     3     1    20
  9.1684650284683727E-02 a        71     0     3     1    21
  3.7937672074505252E-01 a        72     0     3     1    22
  2.3784822505117337E-02 a        73     0     3     1    23
  9.5766524878808135E-01 a        74     0     3     1    24
 -4.5942654440457470E-01 a        75     0     3     1    25
 -1.1567353102512041E+00 a        76     0     4     1     1
  1.2366814519472348E-01 a        77     0     4     1     2
  3.2459525024696112E+00 a        78     0     4     1     3
  5.0649275316873976E-01 a        79     0     4     1     4
  3.6524489172874737E+00 a        80     0     4     1     5
  2.2512268953014454E+00 a        81     0     4     1     6
 -1.0862118624297072E+00 a        82     0     4     1     7
 -1.7122212435560393E+00 a        83     0     4     1     8
 -2.2654511518783891E+00 a        84     0     4     1     9
 -1.6913475346145384E+00 a        85     0     4     1    10
  1.9516442424292608E+00 a        86     0     4     1    11
  1.8977764612127535E+00 a        87     0     4     1    12
 -1.2096879035847454E+00 a        88     0     4     1    13
 -4.2832025362624526E-01 a        89     0     4     1    14
 -1.5895133170028151E+00 a        90     0     4     1    15
  1.4041995546110499E+00 a        91     0     4     1    16
 -4.9235816170497188E-01 a        92     0     4     1    17
 -2.9308386233445547E+00 a        93     0     4     1    18
 -1.6260900878892131E+00 a        94     0     4     1    19
  9.3486719714784161E-01 a        95     0     4     1    20
 -8.0856574677042570E-01 a        96     0     4     1    21
  2.8682075088503081E+00 a        97     0     4     1    22
  1.6514718371624191E+00 a        98     0     4     1    23
 -1.6012815987335716E-01 a        99     0     4     1    24
