################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.2400180436055329E-02 a         1     0     1     1     1
  1.7960485633795751E+00 a         2     0     1     1     2
 -4.8024620978028121E-01 a         3     0     1     1     3
  1.5447187927144967E+00 a         4     0     1     1     4
  1.3709696978970873E+00 a         5     0     1     1     5
 -3.0691820698742250E-01 a         6     0     1     1     6
 -2.2774046467439804E+00 a         7     0     1     1     7
  5.5996097592723848E-01 a         8     0     1     1     8
 -6.3385783717647259E-01 a         9     0     1     1     9
 -1.6818089871309718E+00 a        10     0     1     1    10
 -4.7050634006227698E-01 a        11     0     1     1    11
  1.1508140468293520E+00 a        12     0     1     1    12
 -2.4501123365850472E-01 a        13     0     1     1    13
  4.9811109529484537E-01 a        14     0     1     1    14
  2.6011641603855790E-01 a        15     0     1     1    15
 -1.6496032496590868E-01 a        16     0     1     1    16
 -9.3623855995477823E-01 a        17     0     1     1    17
  7.7300349424386339E-01 a        18     0     1     1    18
 -9.8092135969228456E-01 a        19     0     1     1    19
  4.5828637893859103E-01 a        20     0     1     1    20
 -3.5392677865203642E-01 a        21     0     1     1    21
  3.5364989739651537E-01 a        22     0     1     1    22
 -8.8589812319495198E-01 a        23     0     1     1    23
  1.8832198419627850E+00 a        24     0     1     1    24
  3.5281957755244192E-01 a        25     0     1     1    25
  1.3308965753091666E+00 a        26     0     2     1     1
 -1.5676670148637810E+00 a        27     0     2     1     2
 -4.6551363298125142E-01 a        28     0     2     1     3
  1.5623644562956314E+00 a        29     0     2     1     4
  2.4210240077250349E+00 a        30     0     2     1     5
  1.6143851735797368E+00 a        31     0     2     1     6
  3.3751378451009719E+00 a        32     0     2     1     7
  1.4550859076457392E+00 a        33     0     2     1     8
 -1.6094762977887316E+00 a        34     0     2     1     9
 -1.7342088741535875E+00 a        35     0     2     1    10
 -7.0584903191786619E-01 a        36     0     2     1    11
 -1.6174157612219746E+00 a        37     0     2     1    12
 -2.5002624008935257E+00 a        38     0     2     1    13
 -1.6480309352009488E+00 a        39     0     2     1    14
  2.5540676218531697E+00 a        40     0     2     1    15
  2.5448280275249751E+00 a        41     0     2     1    16
  4.8488687210816600E-01 a        42     0     2     1    17
  3.1813358283056883E+00 a        43     0     2     1    18
 -9.2767219340657336E-01 a        44     0     2     1    19
  2.2861016331763476E-01 a        45     0     2     1    20
  2.0684427695010204E+00 a        46     0     2     1    21
 -8.1699489875085174E-01 a        47     0     2     1    22
  1.0474781059501803E+00 a        48     0     2     1    23
  1.5193569412821639E+00 a        49     0     2     1    24
  5.4036917893490521E-01 a        50     0     2     1    25
 -5.8336920803407621E-01 a        51     0     3     1     1
 -1.0152959185701724E+00 a        52     0     3     1     2
 -6.4458651130188516E-01 a        53     0     3     1     3
  6.8993389164202090E-01 a        54     0     3     1     4
 -1.0389492237838811E+00 a        55     0     3     1     5
 -1.0828412532409759E-01 a        56     0     3     1     6
  6.2830831749576921E-01 a        57     0     3     1     7
 -4.6821394550255896E-01 a        58     0     3     1     8
  9.2834185673590131E-01 a        59     0     3     1     9
  7.7310899723103499E-01 a        60     0     3     1    10
  4.1507326272087108E-01 a        61     0     3     1    11
  8.1543458366359978E-01 a        62     0     3     1    12
 -1.2770610733567578E-01 a        63     0     3     1    13
 -7.7973863367969987E-01 a        64     0     3     1    14
  9.2567919390644704E-01 a        65     0     3     1    15
  4.2865080611511480E-01 a        66     0     3     1    16
  4.1983021881146265E-01 a        67     0     3     1    17
 -7.7222953401582306E-01 a        68     0     3     1    18
  2.6344915174239730E-01 a        69     0     3     1    19
  3.2530493836889646E-01 a        70     0     3     1    20
 -3.9635307195827259E-02 a        71     0     3     1    21
  8.0825471178133920E-02 a        72     0     3     1    22
  9.8822994237800799E-01 a        73     0     3     1    23
 -1.6713149562748070E-01 a        74     0     3     1    24
 -1.1453315294101034E-01 a        75     0     3     1    25
 -1.1630397753019462E-02 a        76     0     4     1     1
  7.2433920187275347E-02 a        77     0     4     1     2
 -1.2181675196522965E+00 a        78     0     4     1     3
  3.0413386858911041E-03 a        79     0     4     1     4
  2.3049126167822695E-01 a        80     0     4     1     5
  9.7163636226164474E-01 a        81     0     4     1     6
  7.5418647248533727E-02 a        82     0     4     1     7
  2.5222320352061262E-01 a        83     0     4     1     8
  3.2833209869001306E-01 a        84     0     4     1     9
 -8.8434825778743076E-01 a        85     0     4     1    10
  6.4730674632318708E-01 a        86     0     4     1    11
 -7.0578891337634109E-01 a        87     0     4     1    12
 -3.6275844965550319E-01 a        88     0     4     1    13
 -3.9326645244932251E-01 a        89     0     4     1    14
 -1.1120516808275513E+00 a        90     0     4     1    15
 -7.7768591654968655E-01 a        91     0     4     1    16
 -4.9149814977196737E-01 a        92     0     4     1    17
  5.6219923203239708E-01 a        93     0     4     1    18
  1.3830047913963142E+00 a        94     0     4     1    19
  6.3060760274584327E-01 a        95     0     4     1    20
  7.0432791894057267E-01 a        96     0     4     1    21
 -2.2390070299110401E-02 a        97     0     4     1    22
 -2.9121941842657073E-01 a        98     0     4     1    23
 -1.3427113435366134E+00 a        99     0     4     1    24
 -8.1561467587460179E-01 a       100     0     4     1    25
  5.1931728203300387E-01 a       101     0     5     1     1
 -1.0355190891327004E+00 a       102     0     5     1     2
  9.4950332911151958E-01 a       103     0     5     1     3
 -1.5978790324672398E-01 a       104     0     5     1     4
 -4.0281290295131528E-01 a       105     0     5     1     5
 -1.8999366506415067E+00 a       106     0     5     1     6
