################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4703902986693500E-01 a         1     0     1     1     1
 -5.3148038135193054E-01 a         2     0     1     1     2
 -1.0735306270186862E+00 a         3     0     1     1     3
 -2.1598202244233259E-02 a         4     0     1     1     4
  2.1819833242884115E-01 a         5     0     1     1     5
 -6.4319629991996174E-03 a         6     0     1     1     6
  1.6849077378586790E+00 a         7     0     1     1     7
 -3.8427810230060766E-01 a         8     0     1     1     8
 -1.6660100045831566E-01 a         9     0     1     1     9
 -4.6936647158769224E-01 a        10     0     1     1    10
 -6.7449516997691283E-01 a        11     0     1     1    11
  5.6947053887954890E-01 a        12     0     1     1    12
 -8.7304528342632670E-01 a        13     0     1     1    13
 -4.4680798618782724E-01 a        14     0     1     1    14
 -8.8903509349194931E-01 a        15     0     1     1    15
  1.6659997542512150E+00 a        16     0     1     1    16
 -1.5603758742318676E+00 a        17     0     1     1    17
 -1.1316990924048524E+00 a        18     0     1     1    18
 -1.6039293112829556E-01 a        19     0     1     1    19
 -1.1218584430878755E+00 a        20     0     1     1    20
 -1.1044681288147102E+00 a        21     0     1     1    21
  6.4967673367126089E-01 a        22     0     1     1    22
 -1.5293815953817147E-01 a        23     0     1     1    23
 -3.2647668229779025E-01 a        24     0     1     1    24
 -2.8481472428663313E-01 a        25     0     1     1    25
  1.4201529852893833E+00 a        26     0     2     1     1
 -1.9407618470521613E+00 a        27     0     2     1     2
  1.0442801971053934E+00 a        28     0     2     1     3
 -5.8078154931693970E-01 a        29     0     2     1     4
  6.3205796093098165E-01 a        30     0     2     1     5
 -2.1225162206686843E+00 a        31     0     2     1     6
  9.0154373302689350E-01 a        32     0     2     1     7
 -2.8723937808420530E+00 a        33     0     2     1     8
 -2.2646242505379444E-01 a        34     0     2     1     9
 -1.0285484353935828E+00 a        35     0     2     1    10
 -1.0499566681577854E+00 a        36     0     2     1    11
  1.4244705629284179E-01 a        37     0     2     1    12
 -2.4566125604285305E+00 a        38     0     2     1    13
  1.1351429583524451E-01 a        39     0     2     1    14
 -6.2925678658910067E-01 a        40     0     2     1    15
 -4.5229648788667332E-01 a        41     0     2     1    16
  3.9912675409411902E-01 a        42     0     2     1    17
 -1.0972662444466605E+00 a        43     0     2     1    18
  1.1971375622312380E-01 a        44     0     2     1    19
