################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.2181375164739461E-01 a         1     0     1     1     1
 -9.1508914831771793E-01 a         2     0     1     1     2
 -1.3201257762416478E-02 a         3     0     1     1     3
 -3.5005515296649509E-01 a         4     0     1     1     4
 -3.6658656521787064E-01 a         5     0     1     1     5
  4.3679587902267597E-01 a         6     0     1     1     6
 -6.1916363113583645E-02 a         7     0     1     1     7
  1.3997279795401765E+00 a         8     0     1     1     8
 -2.2415504955666083E+00 a         9     0     1     1     9
 -4.9125319159408143E-01 a        10     0     1     1    10
  2.0323624879923560E-01 a        11     0     1     1    11
  1.4764703626590843E+00 a        12     0     1     1    12
  9.7382620145386811E-01 a        13     0     1     1    13
  6.5996991661472648E-01 a        14     0     1     1    14
  6.8912462384020956E-01 a        15     0     1     1    15
 -3.6640329631106645E-02 a        16     0     1     1    16
 -1.3655729052953725E+00 a        17     0     1     1    17
 -8.0846548449934519E-01 a        18     0     1     1    18
 -3.5952034660401788E-01 a        19     0     1     1    19
 -9.2710794825981913E-01 a        20     0     1     1    20
  4.7079600457879556E-01 a        21     0     1     1    21
  4.7227960385627449E-01 a        22     0     1     1    22
 -6.5665296030740428E-01 a        23     0     1     1    23
 -1.6536441940683551E+00 a        24     0     1     1    24
 -4.7913233292114732E-01 a        25     0     1     1    25
  4.0274756838055099E+00 a        26     0     2     1     1
  3.6994740308488314E+00 a        27     0     2     1     2
 -2.8683197221122797E-01 a        28     0     2     1     3
  1.1701447937650444E+00 a        29     0     2     1     4
 -5.3412157531167304E-01 a        30     0     2     1     5
  2.1611980384363599E-01 a        31     0     2     1     6
  2.7629458082153030E-01 a        32     0     2     1     7
  6.2831313334346139E-01 a        33     0     2     1     8
  1.9686312986650689E-02 a        34     0     2     1     9
  1.4242710006143400E+00 a        35     0     2     1    10
  1.6552391056546928E-01 a        36     0     2     1    11
 -1.1234594133502931E+00 a        37     0     2     1    12
