################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.9115225043804378E-01 a         1     0     1     1     1
 -8.2280440197480886E-01 a         2     0     1     1     2
 -4.3131293601544923E-01 a         3     0     1     1     3
  4.9273607650183193E-01 a         4     0     1     1     4
  9.5157542613372692E-01 a         5     0     1     1     5
  9.1730487082048462E-01 a         6     0     1     1     6
 -2.2423377634030191E-02 a         7     0     1     1     7
 -1.0088152198315314E+00 a         8     0     1     1     8
  2.0946702967649541E-01 a         9     0     1     1     9
 -3.5775477625905588E-01 a        10     0     1     1    10
 -9.4058760596777780E-01 a        11     0     1     1    11
 -4.5839562526896493E-01 a        12     0     1     1    12
  1.0672335650141718E-01 a        13     0     1     1    13
 -1.6651350312968230E-01 a        14     0     1     1    14
 -3.7734471361727312E-01 a        15     0     1     1    15
 -7.2782806019496016E-01 a        16     0     1     1    16
 -1.2233264599047322E-01 a        17     0     1     1    17
  8.1826916817838080E-01 a        18     0     1     1    18
  4.3745350213280465E-01 a        19     0     1     1    19
  1.2036556735181356E+00 a        20     0     1     1    20
  1.7158548539249190E+00 a        21     0     1     1    21
 -3.7005224885925098E-01 a        22     0     1     1    22
 -9.6594576221198469E-01 a        23     0     1     1    23
  7.7536526941737938E-01 a        24     0     1     1    24
 -3.3912274755178534E-01 a        25     0     1     1    25
 -6.2462027394243225E-01 a        26     0     2     1     1
 -7.8859969779139616E-01 a        27     0     2     1     2
 -2.5768014440066001E-01 a        28     0     2     1     3
  7.8781507664207340E-01 a        29     0     2     1     4
  2.4710909186825942E+00 a        30     0     2     1     5
 -6.8082315393883430E-01 a        31     0     2     1     6
  3.0999763273740366E+00 a        32     0     2     1     7
  5.3959968806370481E-02 a        33     0     2     1     8
 -2.0623130286655518E+00 a        34     0     2     1     9
  2.1003076839082180E-01 a        35     0     2     1    10
  8.7106013937566673E-01 a        36     0     2     1    11
  8.7404634169941697E-01 a        37     0     2     1    12
 -7.3891687484915747E-01 a        38     0     2     1    13
  3.4965083149253375E-02 a        39     0     2     1    14
 -6.4574091448567272E-01 a        40     0     2     1    15
 -1.8150499069209236E+00 a        41     0     2     1    16
 -3.8777943573281792E-01 a        42     0     2     1    17
 -3.2067768877182878E+00 a        43     0     2     1    18
 -2.0925574130766622E-01 a        44     0     2     1    19
  2.3232137411514366E+00 a        45     0     2     1    20
 -9.2714906693519661E-01 a        46     0     2     1    21
 -1.4256105123058487E+00 a        47     0     2     1    22
  1.5828963220316963E+00 a        48     0     2     1    23
  9.1528065942233316E-01 a        49     0     2     1    24
 -1.5566779673290785E+00 a        50     0     2     1    25
 -8.2429744178622077E-01 a        51     0     3     1     1
 -2.7173653963470840E-01 a        52     0     3     1     2
  1.8012262111757602E+00 a        53     0     3     1     3
 -9.9594604200928960E-01 a        54     0     3     1     4
 -1.3542398583127924E+00 a        55     0     3     1     5
 -5.8076773588292741E-01 a        56     0     3     1     6
  1.0873970256017775E+00 a        57     0     3     1     7
  2.2033681796525248E-01 a        58     0     3     1     8
  4.4902124398591103E-01 a        59     0     3     1     9
  1.1678957939501224E+00 a        60     0     3     1    10
  1.2019743025635938E+00 a        61     0     3     1    11
  1.6817824896754421E+00 a        62     0     3     1    12
  1.0538944741298019E-02 a        63     0     3     1    13
  2.9249985400121936E-01 a        64     0     3     1    14
  3.4311286423068277E-01 a        65     0     3     1    15
 -4.0355895100571582E-01 a        66     0     3     1    16
 -8.2302160457322429E-03 a        67     0     3     1    17
 -1.3104523341892229E+00 a        68     0     3     1    18
 -1.2964279825439545E-01 a        69     0     3     1    19
 -1.4162889619073959E+00 a        70     0     3     1    20
 -1.4975127283818086E+00 a        71     0     3     1    21
  1.4340174564378718E+00 a        72     0     3     1    22
  4.7521476431209375E-01 a        73     0     3     1    23
 -4.0510598642961726E-01 a        74     0     3     1    24
 -4.7471209055367569E-01 a        75     0     3     1    25
  2.0413791904660331E-01 a        76     0     4     1     1
  1.2773326618174863E+00 a        77     0     4     1     2
  2.5333829583911314E+00 a        78     0     4     1     3
  1.0450412863779222E+00 a        79     0     4     1     4
 -1.8213305405045346E+00 a        80     0     4     1     5
  1.3704261323124962E+00 a        81     0     4     1     6
 -4.0640646890946153E+00 a        82     0     4     1     7
 -8.6081734739430282E-01 a        83     0     4     1     8
  1.8985002156826203E+00 a        84     0     4     1     9
 -1.1752868630183444E+00 a        85     0     4     1    10
 -2.4594960386821980E+00 a        86     0     4     1    11
 -1.3546057844046189E+00 a        87     0     4     1    12
 -7.5049286981251878E-02 a        88     0     4     1    13
  1.8713101894774815E+00 a        89     0     4     1    14
 -2.8833416168990372E-01 a        90     0     4     1    15
  2.4881762242682681E+00 a        91     0     4     1    16
 -5.9641606683280346E-01 a        92     0     4     1    17
  6.9931493579369315E+00 a        93     0     4     1    18
 -2.3832774304073651E-01 a        94     0     4     1    19
 -2.8774985990477755E+00 a        95     0     4     1    20
  6.5908477097368523E-01 a        96     0     4     1    21
  1.7753764395432725E+00 a        97     0     4     1    22
 -1.9523631206615146E+00 a        98     0     4     1    23
 -2.4025173009901879E+00 a        99     0     4     1    24
  1.6302092247330906E+00 a       100     0     4     1    25
 -1.6357169101619657E+00 a       101     0     5     1     1
 -4.9963601672437818E-01 a       102     0     5     1     2
 -3.6944935012570088E+00 a       103     0     5     1     3
 -1.5078864330242381E+00 a       104     0     5     1     4
 -1.4802333021872682E-01 a       105     0     5     1     5
 -1.4495591530257825E+00 a       106     0     5     1     6
  1.0789747116413970E+00 a       107     0     5     1     7
 -4.3596062345338749E-01 a       108     0     5     1     8
 -5.1615730162729700E-01 a       109     0     5     1     9
  4.4066476615194727E-01 a       110     0     5     1    10
  3.6694181422328658E+00 a       111     0     5     1    11
 -6.0222253189156605E-01 a       112     0     5     1    12
 -2.4919618589354191E+00 a       113     0     5     1    13
 -2.8274488777327740E+00 a       114     0     5     1    14
 -1.2559785679082198E+00 a       115     0     5     1    15
  3.8329327207438174E-01 a       116     0     5     1    16
  1.1190625503671074E+00 a       117     0     5     1    17
 -4.3310001364513324E+00 a       118     0     5     1    18
  1.1734420834377770E+00 a       119     0     5     1    19
  8.6623673723796313E-01 a       120     0     5     1    20
 -3.3367576795324927E-02 a       121     0     5     1    21
  1.1829430345498866E+00 a       122     0     5     1    22
  2.0766185973187155E-02 a       123     0     5     1    23
  9.5402999934832611E-01 a       124     0     5     1    24
  2.6302089957721830E+00 a       125     0     5     1    25
  1.1399152830143282E+00 a       126     0     6     1     1
 -3.1463294702591232E-01 a       127     0     6     1     2
 -1.6691632364067697E+00 a       128     0     6     1     3
 -2.6090294818245949E+00 a       129     0     6     1     4
  1.1314335093407886E+00 a       130     0     6     1     5
 -1.5633705440636556E+00 a       131     0     6     1     6
 -8.9079016552380852E-01 a       132     0     6     1     7
  5.6087329478114334E-01 a       133     0     6     1     8
 -6.8608711451760562E-01 a       134     0     6     1     9
 -8.0600617252842688E-01 a       135     0     6     1    10
  3.2150460343887050E-01 a       136     0     6     1    11
  9.9008053893684403E-02 a       137     0     6     1    12
 -2.3984374440474947E+00 a       138     0     6     1    13
  4.9073849033360623E-01 a       139     0     6     1    14
 -2.2352617719061410E-01 a       140     0     6     1    15
  4.2207561435753022E-01 a       141     0     6     1    16
  7.0502206503122888E-01 a       142     0     6     1    17
  2.2402497804100177E-01 a       143     0     6     1    18
  2.1811213048813660E-01 a       144     0     6     1    19
 -9.6403002044095465E-01 a       145     0     6     1    20
 -1.4871024944879305E+00 a       146     0     6     1    21
 -2.6192313602739943E+00 a       147     0     6     1    22
 -3.9656946733605014E-01 a       148     0     6     1    23
 -1.3939680490453985E+00 a       149     0     6     1    24
  1.4325581751836953E+00 a       150     0     6     1    25
  1.4426634207056686E+00 a       151     0     7     1     1
 -1.2138160164208478E+00 a       152     0     7     1     2
  2.7614798051583676E+00 a       153     0     7     1     3
  4.4700462382827533E-01 a       154     0     7     1     4
 -7.2352592015574069E-01 a       155     0     7     1     5
  1.7329777755687423E+00 a       156     0     7     1     6
 -2.2079883592239669E+00 a       157     0     7     1     7
 -1.8074874635329987E+00 a       158     0     7     1     8
  8.8222592184907977E-01 a       159     0     7     1     9
 -2.5657000263195612E-01 a       160     0     7     1    10
 -1.9781097704187338E+00 a       161     0     7     1    11
  2.4462972118024600E+00 a       162     0     7     1    12
  4.5741774990517825E-01 a       163     0     7     1    13
 -2.8102307837531915E-01 a       164     0     7     1    14
 -1.1761086069116264E+00 a       165     0     7     1    15
  5.0611535025661181E-01 a       166     0     7     1    16
  1.7409806593611830E+00 a       167     0     7     1    17
  8.9851225687959294E-02 a       168     0     7     1    18
 -1.7865512507025032E+00 a       169     0     7     1    19
  9.2752410937696506E-01 a       170     0     7     1    20
  1.0146493261649681E+00 a       171     0     7     1    21
 -6.7264473704157313E-01 a       172     0     7     1    22
  6.5769434207944122E-02 a       173     0     7     1    23
 -1.6313944858726070E+00 a       174     0     7     1    24
  8.5523346615413165E-01 a       175     0     7     1    25
  4.6590767832787416E-01 a       176     0     8     1     1
  7.1595806054636313E-01 a       177     0     8     1     2
  7.1925111122336549E-01 a       178     0     8     1     3
 -3.0069151326977411E-01 a       179     0     8     1     4
 -6.5805097490264386E-01 a       180     0     8     1     5
 -4.6195146518171087E-01 a       181     0     8     1     6
  6.9478667663247595E-01 a       182     0     8     1     7
  1.5630970317809088E+00 a       183     0     8     1     8
  1.2368355967832425E+00 a       184     0     8     1     9
 -3.8460382460354020E-02 a       185     0     8     1    10
  6.6254195363647927E-01 a       186     0     8     1    11
 -1.2551727061838600E-01 a       187     0     8     1    12
  3.2179222287630360E-01 a       188     0     8     1    13
 -1.4890160178675005E-01 a       189     0     8     1    14
  4.7000473301391682E-01 a       190     0     8     1    15
 -7.1385047651033240E-03 a       191     0     8     1    16
  1.4044513848063142E-01 a       192     0     8     1    17
  3.1407555593153375E-01 a       193     0     8     1    18
 -3.6916361415968914E-02 a       194     0     8     1    19
  1.0302645819806647E-01 a       195     0     8     1    20
  1.7776467499616000E-01 a       196     0     8     1    21
 -5.3997727590408118E-01 a       197     0     8     1    22
  4.0830940967828233E-01 a       198     0     8     1    23
  1.3180181554336088E+00 a       199     0     8     1    24
  1.2900681215072876E+00 a       200     0     8     1    25
 -5.9481887224172314E-01 a       201     0     9     1     1
  9.5716742003288990E-01 a       202     0     9     1     2
  1.8471836289283630E+00 a       203     0     9     1     3
  3.3965310351444117E-01 a       204     0     9     1     4
 -2.4155850192111421E+00 a       205     0     9     1     5
  4.3758854074370995E-01 a       206     0     9     1     6
  8.7179162213599604E-01 a       207     0     9     1     7
  1.6758329741746075E-01 a       208     0     9     1     8
 -9.1373270798552342E-01 a       209     0     9     1     9
  2.7731010903069944E+00 a       210     0     9     1    10
 -6.3437266301556383E-01 a       211     0     9     1    11
  1.5247402605373250E+00 a       212     0     9     1    12
  4.5434112998672092E+00 a       213     0     9     1    13
 -1.4632287247221478E-02 a       214     0     9     1    14
 -1.0739019360893212E+00 a       215     0     9     1    15
  8.2260317438789843E-01 a       216     0     9     1    16
 -3.0777791385379751E-02 a       217     0     9     1    17
  1.8386094183864150E+00 a       218     0     9     1    18
  1.1777818121812379E-01 a       219     0     9     1    19
 -5.6171446770672728E-01 a       220     0     9     1    20
  1.0658674692710248E+00 a       221     0     9     1    21
  5.8210407171450285E-01 a       222     0     9     1    22
  6.2228370207646755E-01 a       223     0     9     1    23
  2.3221829273388086E+00 a       224     0     9     1    24
 -2.0958999538305396E+00 a       225     0     9     1    25
 -1.6999551592222941E+00 a       226     0    10     1     1
  1.7956563123024749E+00 a       227     0    10     1     2
 -4.7598864575516355E+00 a       228     0    10     1     3
  3.3652152148190673E-01 a       229     0    10     1     4
  8.0831927011447424E-01 a       230     0    10     1     5
 -4.5632431439972565E-01 a       231     0    10     1     6
  4.8637912278247031E+00 a       232     0    10     1     7
