################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1137174963628997E+00 a         1     0     1     1     1
  9.8907210845954352E-01 a         2     0     1     1     2
 -2.0766986871148734E+00 a         3     0     1     1     3
  9.0842246735126153E-01 a         4     0     1     1     4
  3.6300539756781287E+00 a         5     0     1     1     5
  9.1650208233429142E-01 a         6     0     1     1     6
  2.3350536932558925E+00 a         7     0     1     1     7
  1.1726521015806235E+00 a         8     0     1     1     8
  1.0764583785404063E+00 a         9     0     1     1     9
  1.8606257307340437E+00 a        10     0     1     1    10
  1.1367654040711546E+00 a        11     0     1     1    11
 -1.2650225233465398E+00 a        12     0     1     1    12
 -4.7008089855466273E-01 a        13     0     1     1    13
 -3.6753670674056518E+00 a        14     0     1     1    14
 -2.7980852777329095E+00 a        15     0     1     1    15
  1.8843962630829063E+00 a        16     0     1     1    16
 -3.1395700434726137E-01 a        17     0     1     1    17
  1.0076682047860976E+00 a        18     0     1     1    18
 -2.7322779091911622E+00 a        19     0     1     1    19
 -3.4731910387183723E-01 a        20     0     1     1    20
  8.4924189323681099E-01 a        21     0     1     1    21
  1.3610561450195373E+00 a        22     0     1     1    22
  8.8133228491836482E-02 a        23     0     1     1    23
 -1.6596444922447564E+00 a        24     0     1     1    24
 -3.8878404387242693E-01 a        25     0     1     1    25
 -2.9612982239722768E-01 a        26     0     2     1     1
  1.6344085650563536E-01 a        27     0     2     1     2
 -4.7618072116769222E-01 a        28     0     2     1     3
  4.8816005124493467E+00 a        29     0     2     1     4
  9.1199944457326029E-02 a        30     0     2     1     5
 -5.9188406192044063E-01 a        31     0     2     1     6
 -3.3812816829436514E+00 a        32     0     2     1     7
  2.9517505846990849E-01 a        33     0     2     1     8
  1.1498922316117013E+00 a        34     0     2     1     9
  2.1916666258465511E+00 a        35     0     2     1    10
  5.0500525642638099E+00 a        36     0     2     1    11
  1.1414813756455882E+00 a        37     0     2     1    12
  4.8220772110753662E+00 a        38     0     2     1    13
 -2.9185500491151322E+00 a        39     0     2     1    14
 -1.3928142338488940E+00 a        40     0     2     1    15
 -7.1302593852963780E-01 a        41     0     2     1    16
  4.6745527194994079E+00 a        42     0     2     1    17
 -2.9380346104820432E-01 a        43     0     2     1    18
 -5.3093232101256549E-01 a        44     0     2     1    19
 -6.4837153923396984E-01 a        45     0     2     1    20
  1.6431400626096044E+00 a        46     0     2     1    21
 -1.0114634414717460E+00 a        47     0     2     1    22
 -4.6902166403485497E+00 a        48     0     2     1    23
 -1.3938634452790908E+00 a        49     0     2     1    24
 -5.3975376051915887E-02 a        50     0     2     1    25
  1.3464927408981053E+00 a        51     0     3     1     1
 -1.2550591151558419E+00 a        52     0     3     1     2
 -7.0715253428897937E-02 a        53     0     3     1     3
 -1.8478422569236881E+00 a        54     0     3     1     4
  1.1014624389756478E+00 a        55     0     3     1     5
 -5.9990063121389827E+00 a        56     0     3     1     6
  2.5199590082099421E+00 a        57     0     3     1     7
  5.7682330456081543E-01 a        58     0     3     1     8
 -1.8496236673584652E+00 a        59     0     3     1     9
  2.1583982806941706E+00 a        60     0     3     1    10
 -2.1265265476934996E+00 a        61     0     3     1    11
  1.4192930130264836E+00 a        62     0     3     1    12
  4.2403303391853764E-01 a        63     0     3     1    13
  2.4622443106580566E-01 a        64     0     3     1    14
 -2.9273380838634897E+00 a        65     0     3     1    15
 -1.4409009912376134E+00 a        66     0     3     1    16
 -4.1149111173558872E-01 a        67     0     3     1    17
  3.3238774939658553E+00 a        68     0     3     1    18
  1.6059201315435070E+00 a        69     0     3     1    19
  1.6481988504388587E+00 a        70     0     3     1    20
  1.2138191914427514E+00 a        71     0     3     1    21
 -2.5458870539968879E+00 a        72     0     3     1    22
  2.1342822828086869E+00 a        73     0     3     1    23
 -4.1178587790089788E-01 a        74     0     3     1    24
  1.1028972542839663E+00 a        75     0     3     1    25
  1.9961846482625574E+00 a        76     0     4     1     1
  6.9525724727851540E-02 a        77     0     4     1     2
 -9.6813109258633956E-01 a        78     0     4     1     3
  1.4743641628326600E+00 a        79     0     4     1     4
  6.8400597506203531E-01 a        80     0     4     1     5
 -3.1471111394529059E+00 a        81     0     4     1     6
  6.5860861112816393E-01 a        82     0     4     1     7
 -4.4846893864339821E-01 a        83     0     4     1     8
  2.2917067939449440E+00 a        84     0     4     1     9
 -1.8168844888016561E-01 a        85     0     4     1    10
 -5.1065102407626410E+00 a        86     0     4     1    11
 -2.2768710603682223E+00 a        87     0     4     1    12
 -1.4603450999547005E+00 a        88     0     4     1    13
 -3.3778590175150427E+00 a        89     0     4     1    14
 -2.2489421527101423E+00 a        90     0     4     1    15
 -2.1067298655181430E+00 a        91     0     4     1    16
 -2.1144146659634759E+00 a        92     0     4     1    17
  7.6985809919071491E-01 a        93     0     4     1    18
  1.5146243002051556E+00 a        94     0     4     1    19
 -2.4186605877851144E+00 a        95     0     4     1    20
 -1.2641046297407093E+00 a        96     0     4     1    21
  1.6012992173396385E+00 a        97     0     4     1    22
 -1.2973866670578569E+00 a        98     0     4     1    23
  4.1572213538343450E-01 a        99     0     4     1    24
  1.8714073286655541E+00 a       100     0     4     1    25
  2.5934738346537594E+00 a       101     0     5     1     1
 -2.3102782919497136E+00 a       102     0     5     1     2
  1.8554846643007208E+00 a       103     0     5     1     3
 -1.3880304298433859E+00 a       104     0     5     1     4
 -2.2040226012277788E+00 a       105     0     5     1     5
 -1.6723581982837354E+00 a       106     0     5     1     6
 -2.2553524935752627E+00 a       107     0     5     1     7
  8.8153854669270193E-01 a       108     0     5     1     8
  2.7665198614560884E+00 a       109     0     5     1     9
 -1.6751189185335877E+00 a       110     0     5     1    10
 -1.2300724979877167E+00 a       111     0     5     1    11
  2.7488731339619754E+00 a       112     0     5     1    12
 -1.9139447777192937E+00 a       113     0     5     1    13
  4.3539619454989248E-01 a       114     0     5     1    14
  4.1495457097879473E+00 a       115     0     5     1    15
 -3.7379345561000754E+00 a       116     0     5     1    16
  6.4842292066455620E-01 a       117     0     5     1    17
 -2.2983515237709429E+00 a       118     0     5     1    18
  2.4852318939774296E-01 a       119     0     5     1    19
  1.5993763093189875E-01 a       120     0     5     1    20
 -3.7923122556847813E+00 a       121     0     5     1    21
  5.3276483675244346E-01 a       122     0     5     1    22
 -1.7634216120535806E+00 a       123     0     5     1    23
 -2.4572093251737570E-01 a       124     0     5     1    24
 -9.5819272830029512E-01 a       125     0     5     1    25
 -7.7350512060109078E-01 a       126     0     6     1     1
 -8.5945305343694811E-01 a       127     0     6     1     2
  1.2889578562254771E+00 a       128     0     6     1     3
 -6.2384908571924091E+00 a       129     0     6     1     4
 -6.9357974364272124E-01 a       130     0     6     1     5
  3.8574271530679582E-01 a       131     0     6     1     6
  3.6686473903985122E+00 a       132     0     6     1     7
 -1.8448587630649793E+00 a       133     0     6     1     8
 -2.3303900116688920E+00 a       134     0     6     1     9
 -2.1128823572663151E+00 a       135     0     6     1    10
 -5.9439679885729628E+00 a       136     0     6     1    11
 -2.9629044798568200E+00 a       137     0     6     1    12
 -5.2412240323019779E+00 a       138     0     6     1    13
  4.0477712451991206E+00 a       139     0     6     1    14
  2.6489695613097020E+00 a       140     0     6     1    15
  1.4116113771701122E+00 a       141     0     6     1    16
 -6.2721624296945881E+00 a       142     0     6     1    17
  1.0280870839844729E+00 a       143     0     6     1    18
 -2.1540079944833479E-01 a       144     0     6     1    19
  1.2312772801842276E+00 a       145     0     6     1    20
 -3.1932747826011787E-01 a       146     0     6     1    21
  1.8010279164536516E+00 a       147     0     6     1    22
  6.9995827360805771E+00 a       148     0     6     1    23
  1.5373343678516516E+00 a       149     0     6     1    24
 -2.0912212154314265E+00 a       150     0     6     1    25
 -5.5191025005795102E-01 a       151     0     7     1     1
  2.1955122517503658E+00 a       152     0     7     1     2
 -1.1773747815258842E+00 a       153     0     7     1     3
  1.8106750139935028E+00 a       154     0     7     1     4
  2.4135121772856070E+00 a       155     0     7     1     5
  7.4427871804507220E+00 a       156     0     7     1     6
 -1.3142124281887184E+00 a       157     0     7     1     7
  1.8131331225433269E+00 a       158     0     7     1     8
  8.6724635076426768E+00 a       159     0     7     1     9
 -6.4136926844903321E+00 a       160     0     7     1    10
 -1.2424134920835801E+00 a       161     0     7     1    11
  7.1525939991171994E-01 a       162     0     7     1    12
 -3.9084388828820976E-01 a       163     0     7     1    13
  1.0711550259984397E+00 a       164     0     7     1    14
  8.6123288268020843E+00 a       165     0     7     1    15
 -1.7818047609074559E+00 a       166     0     7     1    16
  1.6077730061804614E+00 a       167     0     7     1    17
 -9.9041502530444010E+00 a       168     0     7     1    18
 -2.0034790708691470E+00 a       169     0     7     1    19
 -6.9881469008235342E-01 a       170     0     7     1    20
 -2.4287000588621073E+00 a       171     0     7     1    21
  3.3441132670161395E+00 a       172     0     7     1    22
 -7.9891318066085919E+00 a       173     0     7     1    23
 -9.8202460387414647E-01 a       174     0     7     1    24
 -8.8955649819390503E-01 a       175     0     7     1    25
 -3.0992094624357511E+00 a       176     0     8     1     1
 -7.6079910295715217E-02 a       177     0     8     1     2
 -2.4166630994991580E+00 a       178     0     8     1     3
  3.0273522073547956E+00 a       179     0     8     1     4
 -6.5143357916222577E-01 a       180     0     8     1     5
  1.8850220245722333E+00 a       181     0     8     1     6
  2.9963943483861144E-01 a       182     0     8     1     7
  2.3553398730125203E+00 a       183     0     8     1     8
 -2.9663816347313579E+00 a       184     0     8     1     9
  1.3051846300598533E+00 a       185     0     8     1    10
  4.8798743709212484E+00 a       186     0     8     1    11
  1.2820739819590832E-01 a       187     0     8     1    12
  8.2972750794685224E-01 a       188     0     8     1    13
 -1.6785815582658441E+00 a       189     0     8     1    14
  1.8803790124657198E+00 a       190     0     8     1    15
  1.5326404494471635E+00 a       191     0     8     1    16
  2.7783340340251588E+00 a       192     0     8     1    17
 -2.4626157544173477E+00 a       193     0     8     1    18
 -1.9446951243079755E+00 a       194     0     8     1    19
  1.0897813555196278E+00 a       195     0     8     1    20
 -4.8515192420433173E-02 a       196     0     8     1    21
  2.3479625316079553E+00 a       197     0     8     1    22
 -1.0416781722007211E+00 a       198     0     8     1    23
 -2.3090384349599807E-01 a       199     0     8     1    24
 -1.3460481228590839E+00 a       200     0     8     1    25
  1.5213038746646286E+00 a       201     0     9     1     1
 -1.7163439081332268E+00 a       202     0     9     1     2
 -1.6383465580672676E-01 a       203     0     9     1     3
 -1.9355169356855075E+00 a       204     0     9     1     4
 -2.3459008943307746E+00 a       205     0     9     1     5
 -2.5871450142383186E+00 a       206     0     9     1     6
 -8.6624734605681319E-01 a       207     0     9     1     7
 -1.2114645881802717E-01 a       208     0     9     1     8
 -4.1189489370255004E+00 a       209     0     9     1     9
  7.5308366377759484E-01 a       210     0     9     1    10
 -1.0411711016245089E+00 a       211     0     9     1    11
 -1.3372421391146433E-01 a       212     0     9     1    12
 -7.7925590636412101E-01 a       213     0     9     1    13
 -6.7110883128856280E-01 a       214     0     9     1    14
 -1.0642368964589395E-02 a       215     0     9     1    15
 -3.4655429059449860E-01 a       216     0     9     1    16
  7.2218134328001371E-01 a       217     0     9     1    17
  3.4130686158070618E+00 a       218     0     9     1    18
  1.6046636474363920E+00 a       219     0     9     1    19
  1.8188601700858014E+00 a       220     0     9     1    20
 -8.9121200825010671E-01 a       221     0     9     1    21
 -1.2458904842411427E+00 a       222     0     9     1    22
  2.4731412653155234E+00 a       223     0     9     1    23
  7.9899849742579243E-01 a       224     0     9     1    24
  8.4983950790527252E-01 a       225     0     9     1    25
  1.0748581749756341E+00 a       226     0    10     1     1
  1.8833757952308927E-01 a       227     0    10     1     2
 -1.5121020769573774E+00 a       228     0    10     1     3
  1.7751136124136120E+00 a       229     0    10     1     4
 -1.1075131500455841E+00 a       230     0    10     1     5
 -7.5670954721961947E-01 a       231     0    10     1     6
 -6.0931023796215733E-01 a       232     0    10     1     7
 -2.3390997534900920E-01 a       233     0    10     1     8
  2.3694767678868063E+00 a       234     0    10     1     9
  1.4329794130843381E+00 a       235     0    10     1    10
  3.2211252680550464E+00 a       236     0    10     1    11
  3.5467694345936240E-01 a       237     0    10     1    12
  3.2164781864274277E+00 a       238     0    10     1    13
 -3.0593658069998435E+00 a       239     0    10     1    14
 -3.4066515304224881E-01 a       240     0    10     1    15
 -1.1974835752800669E-01 a       241     0    10     1    16
  1.2424549103140738E+00 a       242     0    10     1    17
 -1.8738535390459339E+00 a       243     0    10     1    18
  6.7472512366527987E-02 a       244     0    10     1    19
 -1.4853357457424661E+00 a       245     0    10     1    20
  2.4340720817128481E+00 a       246     0    10     1    21
  5.8187290392191204E-01 a       247     0    10     1    22
 -3.0615944637162205E+00 a       248     0    10     1    23
 -1.2127931842479767E+00 a       249     0    10     1    24
  1.2836411716350904E+00 a       250     0    10     1    25
  1.7083894922625069E+00 a       251     0    11     1     1
 -1.0244071262776742E+00 a       252     0    11     1     2
 -2.1705870565709482E+00 a       253     0    11     1     3
  3.1631239807719558E+00 a       254     0    11     1     4
  1.8283807216707013E+00 a       255     0    11     1     5
 -7.1144170726907108E+00 a       256     0    11     1     6
  2.9080977826134888E+00 a       257     0    11     1     7
  1.0842521229718545E+00 a       258     0    11     1     8
