################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6936622108325019E+00 a         1     0     1     1     1
 -2.7547496706328822E-01 a         2     0     1     1     2
 -2.4087211343519713E-01 a         3     0     1     1     3
  1.1033119676417424E+00 a         4     0     1     1     4
 -1.3670318565691586E+00 a         5     0     1     1     5
 -2.0581613566755541E+00 a         6     0     1     1     6
  6.6827526672197446E-01 a         7     0     1     1     7
  2.4405972682750970E-01 a         8     0     1     1     8
 -9.7828794116551077E-01 a         9     0     1     1     9
  4.7944328594560270E-01 a        10     0     1     1    10
  5.9738419309052460E-01 a        11     0     1     1    11
 -4.4947104102862906E-01 a        12     0     1     1    12
  1.5047764680047071E-01 a        13     0     1     1    13
 -2.7986126571009784E-01 a        14     0     1     1    14
  7.1478859493796099E-01 a        15     0     1     1    15
  1.9062307711578974E-01 a        16     0     1     1    16
 -1.1296458447140785E+00 a        17     0     1     1    17
  2.9276474212074677E-01 a        18     0     1     1    18
  8.7257214658351692E-02 a        19     0     1     1    19
 -1.3336135918615710E+00 a        20     0     1     1    20
  2.5043458261897195E-01 a        21     0     1     1    21
  1.8867520396566240E-01 a        22     0     1     1    22
 -2.0418459649643905E+00 a        23     0     1     1    23
  2.3377035477936919E-01 a        24     0     1     1    24
 -1.3251636243368894E+00 a        25     0     1     1    25
 -4.7302618907698191E-01 a        26     0     2     1     1
 -2.9269225089265294E-01 a        27     0     2     1     2
 -1.6156589643600936E+00 a        28     0     2     1     3
 -2.6334063511879116E+00 a        29     0     2     1     4
 -1.0766755724514339E+00 a        30     0     2     1     5
 -1.3563754312572054E-01 a        31     0     2     1     6
