################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.8433183225209835E-01 a         1     0     1     1     1
  2.4717914333818714E-01 a         2     0     1     1     2
  1.8011880816811901E-01 a         3     0     1     1     3
 -1.4779190851415029E+00 a         4     0     1     1     4
  4.6238075074266399E-01 a         5     0     1     1     5
 -2.2071841499265627E-02 a         6     0     1     1     6
 -1.4507791413249560E-01 a         7     0     1     1     7
 -9.1141050300195980E-02 a         8     0     1     1     8
 -2.5563849483606799E-01 a         9     0     1     1     9
 -8.1688601785937542E-01 a        10     0     1     1    10
 -7.3777167541878619E-01 a        11     0     1     1    11
  1.7256207513307137E-01 a        12     0     1     1    12
 -4.3572005899510718E-01 a        13     0     1     1    13
  3.9029975107170128E-01 a        14     0     1     1    14
 -2.3503408478327004E-01 a        15     0     1     1    15
 -6.7094478521783948E-02 a        16     0     1     1    16
 -6.7661494377167147E-02 a        17     0     1     1    17
 -1.0018581913197029E-01 a        18     0     1     1    18
 -5.5723930572169011E-01 a        19     0     1     1    19
 -3.8102157189589392E-01 a        20     0     1     1    20
 -2.0850303421783312E-01 a        21     0     1     1    21
 -8.1042980509526752E-01 a        22     0     1     1    22
 -5.6002505335875308E-01 a        23     0     1     1    23
 -9.1341792382476006E-01 a        24     0     1     1    24
 -5.3827669051644400E-01 a        25     0     1     1    25
 -8.6989839065837227E-01 a        26     0     2     1     1
  4.4960077014053518E-01 a        27     0     2     1     2
  2.0588020397557780E-01 a        28     0     2     1     3
 -7.4430049385526720E-01 a        29     0     2     1     4
  1.2554377077523990E+00 a        30     0     2     1     5
 -5.0606216342610832E-01 a        31     0     2     1     6
 -6.7339090466476204E-01 a        32     0     2     1     7
 -9.1445798473404945E-03 a        33     0     2     1     8
  5.8580875351656525E-01 a        34     0     2     1     9
  1.6444936802269999E-01 a        35     0     2     1    10
  9.6463797503416437E-01 a        36     0     2     1    11
  3.0990006600430092E-03 a        37     0     2     1    12
 -5.9089903142866951E-01 a        38     0     2     1    13
 -5.6173988505640049E-01 a        39     0     2     1    14
 -1.1133965728483979E+00 a        40     0     2     1    15
 -1.7118502186148961E+00 a        41     0     2     1    16
  4.1482864650029966E-01 a        42     0     2     1    17
  9.2883369072431643E-01 a        43     0     2     1    18
  2.8160858595642685E-01 a        44     0     2     1    19
 -1.9589309001015143E-01 a        45     0     2     1    20
  1.8901912469111815E-01 a        46     0     2     1    21
  1.3786638942859564E+00 a        47     0     2     1    22
  3.3692885760726304E-01 a        48     0     2     1    23
  6.5697127270944322E-01 a        49     0     2     1    24
  9.0667232503810691E-01 a        50     0     2     1    25
 -2.3622308977181219E-01 a        51     0     3     1     1
  1.3439789561325868E-01 a        52     0     3     1     2
  1.7511787620827954E-01 a        53     0     3     1     3
  6.9860396261012692E-01 a        54     0     3     1     4
 -1.8762910629489893E-01 a        55     0     3     1     5
 -6.5420426615663085E-01 a        56     0     3     1     6
 -4.9463471543173770E-01 a        57     0     3     1     7
  1.1303821129162914E+00 a        58     0     3     1     8
  5.1514097712943918E-01 a        59     0     3     1     9
  8.9797362447421480E-01 a        60     0     3     1    10
  9.2539720023597061E-01 a        61     0     3     1    11
  5.9604091442858387E-01 a        62     0     3     1    12
  6.2887707034689722E-01 a        63     0     3     1    13
 -1.5556361052548379E-01 a        64     0     3     1    14
  1.8819861301911472E-01 a        65     0     3     1    15
  1.1178365323186998E-01 a        66     0     3     1    16
  3.7974549336758973E-01 a        67     0     3     1    17
  2.3403215079282488E-01 a        68     0     3     1    18
  1.1812209115293983E+00 a        69     0     3     1    19
 -1.7950731665302774E-01 a        70     0     3     1    20
 -4.1646754269245317E-01 a        71     0     3     1    21
  4.2417033277065597E-01 a        72     0     3     1    22
  7.5730105611141485E-01 a        73     0     3     1    23
  1.0870287877515994E+00 a        74     0     3     1    24
 -3.7772498299095564E-01 a        75     0     3     1    25
  1.0713522788357004E+00 a        76     0     4     1     1
 -9.8380906447539263E-01 a        77     0     4     1     2
  4.5661441314087226E-01 a        78     0     4     1     3
  1.0137858196526932E+00 a        79     0     4     1     4
 -1.9403949170854498E+00 a        80     0     4     1     5
  1.9995433650232192E-01 a        81     0     4     1     6
  1.2255539058967737E+00 a        82     0     4     1     7
  2.0212419688148056E-01 a        83     0     4     1     8
 -1.5629425892454147E+00 a        84     0     4     1     9
  7.6650399932685034E-02 a        85     0     4     1    10
 -1.1414029001573296E+00 a        86     0     4     1    11
 -1.5260897392184944E+00 a        87     0     4     1    12
  1.2345971151898827E+00 a        88     0     4     1    13
  1.6065244362303419E+00 a        89     0     4     1    14
  2.0072511067813124E+00 a        90     0     4     1    15
  3.1369291689528160E+00 a        91     0     4     1    16
 -4.4559517987002362E-01 a        92     0     4     1    17
 -1.9190553226069311E+00 a        93     0     4     1    18
  4.4373631414616525E-02 a        94     0     4     1    19
 -7.1518374928564343E-01 a        95     0     4     1    20
  4.7545063234194729E-01 a        96     0     4     1    21
 -2.1190570694785476E+00 a        97     0     4     1    22
  1.0193256131451158E+00 a        98     0     4     1    23
 -1.0644320130950142E+00 a        99     0     4     1    24
 -1.0702891917276940E+00 a       100     0     4     1    25
  6.6207502638598137E-01 a       101     0     5     1     1
  1.7462979423225402E+00 a       102     0     5     1     2
 -3.4131352806512477E-01 a       103     0     5     1     3
 -4.5302083361190448E-01 a       104     0     5     1     4
 -6.9249237113737927E-01 a       105     0     5     1     5
 -3.3759276307960568E-03 a       106     0     5     1     6
 -2.0829257030936486E+00 a       107     0     5     1     7
 -8.9463327720214003E-01 a       108     0     5     1     8
  9.4499162352947064E-01 a       109     0     5     1     9
 -2.6951453472220077E+00 a       110     0     5     1    10
  8.6827521185897116E-01 a       111     0     5     1    11
  2.2919529455046801E+00 a       112     0     5     1    12
