################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.5787944045005058E-01 a         1     0     1     1     1
  1.9791174422168138E+00 a         2     0     1     1     2
  1.0615844060889603E+00 a         3     0     1     1     3
  1.4086145435803603E+00 a         4     0     1     1     4
 -2.8567148065877998E-02 a         5     0     1     1     5
 -2.2881214732920904E-01 a         6     0     1     1     6
  1.3984042957170153E+00 a         7     0     1     1     7
 -8.2797286839497375E-01 a         8     0     1     1     8
  1.1405065524607518E+00 a         9     0     1     1     9
  3.0844158752627276E-01 a        10     0     1     1    10
 -5.3202974081800913E-01 a        11     0     1     1    11
 -1.0396310864694278E+00 a        12     0     1     1    12
  8.3110383167670343E-01 a        13     0     1     1    13
 -9.8543424403572832E-01 a        14     0     1     1    14
  2.2312734073096290E+00 a        15     0     1     1    15
 -6.0043179329595342E-01 a        16     0     1     1    16
 -8.1168711738993771E-01 a        17     0     1     1    17
 -6.8936775444611176E-01 a        18     0     1     1    18
 -1.5023530096105255E+00 a        19     0     1     1    19
  1.2751186499087311E-01 a        20     0     1     1    20
 -2.2358380926276542E-02 a        21     0     1     1    21
 -1.3746660012547288E-01 a        22     0     1     1    22
  1.8369430906705020E+00 a        23     0     1     1    23
  1.1777423102576992E+00 a        24     0     1     1    24
  1.1542469870237317E+00 a        25     0     1     1    25
 -2.3441997749743391E+00 a        26     0     2     1     1
 -3.4874822175929290E+00 a        27     0     2     1     2
 -2.3730271734570834E+00 a        28     0     2     1     3
 -3.8625995346626646E-01 a        29     0     2     1     4
 -1.5227247764166646E-01 a        30     0     2     1     5
  1.5118237112476199E-01 a        31     0     2     1     6
 -1.7929863152350207E+00 a        32     0     2     1     7
  7.9156896832775814E-01 a        33     0     2     1     8
 -1.7360673369041992E+00 a        34     0     2     1     9
 -2.9042798667212888E-01 a        35     0     2     1    10
  1.8570245417921727E+00 a        36     0     2     1    11
  2.6403760117753547E+00 a        37     0     2     1    12
 -5.2290545548173950E-01 a        38     0     2     1    13
  2.8045062415950150E-01 a        39     0     2     1    14
 -3.0060575149159963E+00 a        40     0     2     1    15
  1.2790504634730084E+00 a        41     0     2     1    16
 -1.7657049594971352E+00 a        42     0     2     1    17
 -4.7381807439574569E-01 a        43     0     2     1    18
  3.4459319693700730E-01 a        44     0     2     1    19
  1.0757331242222587E-01 a        45     0     2     1    20
  2.1676374302650032E+00 a        46     0     2     1    21
 -1.3651752403258359E+00 a        47     0     2     1    22
 -2.1493542847454847E+00 a        48     0     2     1    23
 -1.4615450094643503E+00 a        49     0     2     1    24
 -1.5199659411639437E+00 a        50     0     2     1    25
 -3.6459515884181148E-01 a        51     0     3     1     1
  4.8864459482600131E-01 a        52     0     3     1     2
 -3.6510901631867085E-02 a        53     0     3     1     3
  1.7233260606801313E+00 a        54     0     3     1     4
 -1.6706847603343555E+00 a        55     0     3     1     5
  8.4111262937477305E-01 a        56     0     3     1     6
 -2.9231840919325403E-01 a        57     0     3     1     7
  1.0045375648548127E+00 a        58     0     3     1     8
 -2.0378098848559376E+00 a        59     0     3     1     9
 -2.0897498601552270E-01 a        60     0     3     1    10
  2.1576940658873697E-01 a        61     0     3     1    11
 -3.3346526638526961E+00 a        62     0     3     1    12
  2.7877807689022749E-01 a        63     0     3     1    13
 -5.9866722824973573E-01 a        64     0     3     1    14
 -2.0868464445523549E+00 a        65     0     3     1    15
 -1.5084952102897467E-01 a        66     0     3     1    16
  1.1483158201728455E-01 a        67     0     3     1    17
  1.3328660603035387E+00 a        68     0     3     1    18
  3.5044296804310765E-01 a        69     0     3     1    19
 -1.2648439983888211E+00 a        70     0     3     1    20
 -1.0797521080212327E+00 a        71     0     3     1    21
  6.9777365291495741E-01 a        72     0     3     1    22
  1.4262155737257038E+00 a        73     0     3     1    23
 -8.8071052553463980E-01 a        74     0     3     1    24
  3.2016663819937397E-01 a        75     0     3     1    25
  5.2456048780766451E-01 a        76     0     4     1     1
  7.3676921406084883E-01 a        77     0     4     1     2
  4.8069814432393565E-01 a        78     0     4     1     3
 -1.4216521923669059E-01 a        79     0     4     1     4
 -8.4410528277488722E-03 a        80     0     4     1     5
 -9.8407991782955881E-02 a        81     0     4     1     6
  6.2401785361979323E-01 a        82     0     4     1     7
 -6.7184510262973540E-01 a        83     0     4     1     8
 -9.9984278464595333E-01 a        84     0     4     1     9
  1.4323583535169737E+00 a        85     0     4     1    10
  1.0469642098995215E+00 a        86     0     4     1    11
 -1.4628039945626268E+00 a        87     0     4     1    12
  1.4277443050336935E+00 a        88     0     4     1    13
 -1.3726439144653044E+00 a        89     0     4     1    14
 -2.5607103676742151E-02 a        90     0     4     1    15
  8.0141512919034563E-01 a        91     0     4     1    16
  1.1977631506781192E+00 a        92     0     4     1    17
  9.2937468713530522E-02 a        93     0     4     1    18
 -1.1158332170439469E+00 a        94     0     4     1    19
 -5.6054556799598254E-01 a        95     0     4     1    20
 -1.6679190907098163E+00 a        96     0     4     1    21
  1.1470850582471264E+00 a        97     0     4     1    22
 -1.1634513401608333E+00 a        98     0     4     1    23
  1.9195943838382443E+00 a        99     0     4     1    24
  9.7021670131310522E-01 a       100     0     4     1    25
  1.2820925580711581E-01 a       101     0     5     1     1
  4.5429393502894416E-01 a       102     0     5     1     2
 -3.5686380311742488E-01 a       103     0     5     1     3
  4.8915781475388204E-01 a       104     0     5     1     4
 -1.5293010927370987E-01 a       105     0     5     1     5
  1.7373447547367019E-01 a       106     0     5     1     6
 -7.2774053421706331E-01 a       107     0     5     1     7
 -5.6156134912444200E-01 a       108     0     5     1     8
 -8.3231080335973961E-01 a       109     0     5     1     9
 -3.7040947465819035E-01 a       110     0     5     1    10
  2.2906077779992226E-01 a       111     0     5     1    11
 -3.1881849083878416E-01 a       112     0     5     1    12
 -1.1029966053362768E-01 a       113     0     5     1    13
  3.8962983880536445E-01 a       114     0     5     1    14
  3.3692558163478270E-01 a       115     0     5     1    15
 -3.0105779452672027E-01 a       116     0     5     1    16
  1.0684959786860977E+00 a       117     0     5     1    17
 -1.6470511179303721E-01 a       118     0     5     1    18
 -4.9251032093887875E-01 a       119     0     5     1    19
  1.7712616190630323E-01 a       120     0     5     1    20
 -1.6862212122242473E-01 a       121     0     5     1    21
  3.6548208519455877E-01 a       122     0     5     1    22
  6.3098103101284453E-01 a       123     0     5     1    23
 -5.3935449617351849E-01 a       124     0     5     1    24
  1.9995221637176033E-01 a       125     0     5     1    25
 -1.8164518519518493E+00 a       126     0     6     1     1
  5.0679233523643230E-01 a       127     0     6     1     2
 -4.9627825480331977E-01 a       128     0     6     1     3
 -1.4458007639732012E-01 a       129     0     6     1     4
  1.6251595267676529E+00 a       130     0     6     1     5
 -2.6366040146865304E+00 a       131     0     6     1     6
 -1.4231007497176931E+00 a       132     0     6     1     7
 -2.3109864527571647E-01 a       133     0     6     1     8
  4.4567069905291650E+00 a       134     0     6     1     9
  1.2901959251169077E+00 a       135     0     6     1    10
 -7.7030320191096746E-01 a       136     0     6     1    11
  4.1561247578281950E+00 a       137     0     6     1    12
 -3.4953425179157604E-01 a       138     0     6     1    13
  1.7894556699335498E-01 a       139     0     6     1    14
  5.5379758136976704E+00 a       140     0     6     1    15
  1.7669335593147695E+00 a       141     0     6     1    16
  1.2940422439628503E+00 a       142     0     6     1    17
 -2.1150958022321804E+00 a       143     0     6     1    18
 -1.5641537554759652E-01 a       144     0     6     1    19
  2.1516449091910901E+00 a       145     0     6     1    20
  1.0305683445458187E+00 a       146     0     6     1    21
 -8.1896778479406707E-01 a       147     0     6     1    22
  7.2509747152426607E-01 a       148     0     6     1    23
 -3.1989669505382773E-01 a       149     0     6     1    24
 -5.5847187813468468E-01 a       150     0     6     1    25
 -1.3227186163229854E+00 a       151     0     7     1     1
 -2.2269771176254113E-01 a       152     0     7     1     2
 -6.1033850154382319E-01 a       153     0     7     1     3
 -1.8714718147872758E-01 a       154     0     7     1     4
  1.8136124652792698E+00 a       155     0     7     1     5
 -9.0598930246795917E-01 a       156     0     7     1     6
  3.1235622022387310E-01 a       157     0     7     1     7
  3.8721497803098703E-01 a       158     0     7     1     8
  1.7321865673573915E+00 a       159     0     7     1     9
 -1.4643063695496639E+00 a       160     0     7     1    10
 -2.7771990103088937E+00 a       161     0     7     1    11
