################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9733425195630788E-01 a         1     0     1     1     1
  8.1470532633945825E-02 a         2     0     1     1     2
 -5.5169424860384364E-01 a         3     0     1     1     3
  1.8777860581781301E-02 a         4     0     1     1     4
  4.9250418768273396E-01 a         5     0     1     1     5
  7.1271176049382301E-01 a         6     0     1     1     6
  2.1348899331887367E-01 a         7     0     1     1     7
  9.5499310075473094E-03 a         8     0     1     1     8
 -8.9100163403744270E-01 a         9     0     1     1     9
 -1.6339584913910551E-01 a        10     0     1     1    10
 -8.6195062114118814E-01 a        11     0     1     1    11
  2.0100069201813972E-01 a        12     0     1     1    12
  4.2753155044217100E-01 a        13     0     1     1    13
  4.3596185536800292E-01 a        14     0     1     1    14
  1.8573286213977153E-01 a        15     0     1     1    15
  9.1642827123764226E-01 a        16     0     1     1    16
 -8.8830329595403390E-01 a        17     0     1     1    17
  1.5839346157010667E-01 a        18     0     1     1    18
  3.7734836177915865E-01 a        19     0     1     1    19
  1.3962483899389155E-01 a        20     0     1     1    20
  2.3958208512834026E-01 a        21     0     1     1    21
 -2.0195867476577556E-01 a        22     0     1     1    22
  2.4067841398454870E-01 a        23     0     1     1    23
  1.0153613844646663E+00 a        24     0     1     1    24
  8.1551510953632462E-03 a        25     0     1     1    25
  1.8103448949965548E+00 a        26     0     2     1     1
 -1.0946899157208305E+00 a        27     0     2     1     2
  6.6833409936004806E-01 a        28     0     2     1     3
 -5.6125383596118117E-01 a        29     0     2     1     4
 -8.7349865860227338E-01 a        30     0     2     1     5
  1.3261295130352608E+00 a        31     0     2     1     6
 -4.6159356731669515E-01 a        32     0     2     1     7
  6.1226317454255906E-02 a        33     0     2     1     8
 -6.5384209515535086E-01 a        34     0     2     1     9
  1.9708544490912433E-01 a        35     0     2     1    10
 -1.1070598208619382E+00 a        36     0     2     1    11
 -2.9893298873163415E-02 a        37     0     2     1    12
 -9.0751144054484623E-01 a        38     0     2     1    13
  1.0055755240665187E+00 a        39     0     2     1    14
  9.7811880242423994E-03 a        40     0     2     1    15
 -8.2584403646324200E-01 a        41     0     2     1    16
 -9.5972645855938332E-01 a        42     0     2     1    17
  9.5717331146814877E-01 a        43     0     2     1    18
 -1.0035170902266469E-01 a        44     0     2     1    19
  3.8719569149440393E-02 a        45     0     2     1    20
  1.0968121501988630E+00 a        46     0     2     1    21
  3.0009045996160444E-01 a        47     0     2     1    22
 -7.8671990962541594E-01 a        48     0     2     1    23
  9.1274103504630133E-01 a        49     0     2     1    24
 -1.1869836402062646E+00 a        50     0     2     1    25
 -3.0412389359031303E-02 a        51     0     3     1     1
 -6.7169215947705208E-01 a        52     0     3     1     2
  4.6646331415314102E-01 a        53     0     3     1     3
  4.4527719064840814E-02 a        54     0     3     1     4
  3.6449314951207196E-01 a        55     0     3     1     5
  3.3226507657299181E-01 a        56     0     3     1     6
 -3.4340809962030849E-01 a        57     0     3     1     7
 -4.8417734844648552E-01 a        58     0     3     1     8
  6.2143107683655063E-01 a        59     0     3     1     9
 -3.7785516175989953E-01 a        60     0     3     1    10
 -1.2293018794209905E-01 a        61     0     3     1    11
  3.9515937503921733E-01 a        62     0     3     1    12
 -4.5061324497843497E-01 a        63     0     3     1    13
 -7.2298180019692804E-01 a        64     0     3     1    14
  5.5105882133631279E-01 a        65     0     3     1    15
 -4.7336557622345365E-01 a        66     0     3     1    16
  7.9436550388824134E-01 a        67     0     3     1    17
  9.3066003819184073E-01 a        68     0     3     1    18
  5.5696728677936312E-02 a        69     0     3     1    19
 -6.9945950272165425E-01 a        70     0     3     1    20
  1.5317735867161178E-01 a        71     0     3     1    21
  8.1202628468034888E-02 a        72     0     3     1    22
 -5.2427800551683768E-01 a        73     0     3     1    23
 -1.0122094089487277E+00 a        74     0     3     1    24
 -3.3775849971515864E-01 a        75     0     3     1    25
 -2.9456812675879411E+00 a        76     0     4     1     1
  1.5242685260943216E+00 a        77     0     4     1     2
 -1.8848094575320822E+00 a        78     0     4     1     3
  1.2649255894761193E+00 a        79     0     4     1     4
  1.9803615872050470E-01 a        80     0     4     1     5
 -1.3433093494230293E+00 a        81     0     4     1     6
  2.6492100235200494E-01 a        82     0     4     1     7
  1.7540544806739383E-01 a        83     0     4     1     8
  1.8641124234436246E+00 a        84     0     4     1     9
 -1.0784986928115139E+00 a        85     0     4     1    10
  1.7979440698516220E+00 a        86     0     4     1    11
 -3.0131939230554527E-01 a        87     0     4     1    12
  6.6537403398250017E-01 a        88     0     4     1    13
 -2.8688974385474255E+00 a        89     0     4     1    14
  1.9921443925346266E-01 a        90     0     4     1    15
  9.7784522824650644E-01 a        91     0     4     1    16
  9.0188566259365088E-01 a        92     0     4     1    17
 -1.9710987603212129E+00 a        93     0     4     1    18
  2.6560024417522321E-01 a        94     0     4     1    19
  4.9807591783402973E-02 a        95     0     4     1    20
 -1.3235111801282164E+00 a        96     0     4     1    21
 -8.7545725014417630E-01 a        97     0     4     1    22
  5.5916419141435802E-01 a        98     0     4     1    23
 -1.7076870705126015E+00 a        99     0     4     1    24
  2.7074942120519627E+00 a       100     0     4     1    25
  1.4389591818459520E+00 a       101     0     5     1     1
 -8.7365173800056328E-01 a       102     0     5     1     2
  3.7330172804789108E-01 a       103     0     5     1     3
 -1.5112638263688538E+00 a       104     0     5     1     4
  2.7484610675947219E-01 a       105     0     5     1     5
  3.9298392616525263E-01 a       106     0     5     1     6
  1.3303422053631457E+00 a       107     0     5     1     7
 -9.3003072121946184E-01 a       108     0     5     1     8
 -1.4819641838323090E+00 a       109     0     5     1     9
  1.3859571873733285E+00 a       110     0     5     1    10
 -1.6008796373479614E-01 a       111     0     5     1    11
 -4.8172275994741970E-02 a       112     0     5     1    12
 -3.9473349952243103E-01 a       113     0     5     1    13
  2.7164681587225861E+00 a       114     0     5     1    14
 -1.1225513907549398E-02 a       115     0     5     1    15
 -8.6943321077468283E-01 a       116     0     5     1    16
 -3.7771597768059451E-01 a       117     0     5     1    17
  6.9175117603958935E-01 a       118     0     5     1    18
  7.4633609190696948E-02 a       119     0     5     1    19
 -3.0193300066626185E+00 a       120     0     5     1    20
  1.9780731541380014E-01 a       121     0     5     1    21
  1.5185322751202706E+00 a       122     0     5     1    22
 -3.2570885259919308E-01 a       123     0     5     1    23
  1.0136131095638823E+00 a       124     0     5     1    24
 -7.7473488508996180E-01 a       125     0     5     1    25
  3.5293349304550325E-01 a       126     0     6     1     1
 -3.5583635816063269E-01 a       127     0     6     1     2
  5.9883175482480655E-01 a       128     0     6     1     3
 -4.1961199993726955E-01 a       129     0     6     1     4
  7.6884570541452746E-01 a       130     0     6     1     5
 -4.8045285471162630E-02 a       131     0     6     1     6
  6.2973459490153416E-01 a       132     0     6     1     7
  1.1710631116071335E+00 a       133     0     6     1     8
 -9.7037809915671613E-01 a       134     0     6     1     9
  1.0441628660837168E+00 a       135     0     6     1    10
  4.2207012320535608E-01 a       136     0     6     1    11
 -1.3713343869726011E+00 a       137     0     6     1    12
  8.3304800288674208E-01 a       138     0     6     1    13
 -7.6386022173291124E-01 a       139     0     6     1    14
 -4.9220548492084570E-01 a       140     0     6     1    15
  5.6394612664378041E-01 a       141     0     6     1    16
  4.0952606640223077E-01 a       142     0     6     1    17
 -9.7804992662783641E-02 a       143     0     6     1    18
 -6.4646022128845981E-01 a       144     0     6     1    19
 -1.0064354449123578E+00 a       145     0     6     1    20
 -9.9265074705696676E-02 a       146     0     6     1    21
  9.1976745890692091E-01 a       147     0     6     1    22
  7.6881208268162438E-01 a       148     0     6     1    23
  1.1148639805062134E-01 a       149     0     6     1    24
  1.1086948242964156E+00 a       150     0     6     1    25
 -3.1512382462638189E-01 a       151     0     7     1     1
 -4.5976554806013742E-01 a       152     0     7     1     2
  5.9523650230517500E-01 a       153     0     7     1     3
  6.5526464028223774E-01 a       154     0     7     1     4
  7.5280104561320982E-01 a       155     0     7     1     5
  7.3475566364569297E-02 a       156     0     7     1     6
 -6.2922714695288595E-01 a       157     0     7     1     7
  2.2001959139830860E+00 a       158     0     7     1     8
 -1.2707915919840507E+00 a       159     0     7     1     9
  3.8113543626711877E-01 a       160     0     7     1    10
 -7.9980948153079867E-01 a       161     0     7     1    11
  7.3844330583808004E-01 a       162     0     7     1    12
 -1.2717752368937010E-01 a       163     0     7     1    13
  6.1386899255411342E-01 a       164     0     7     1    14
 -9.4389704367524019E-01 a       165     0     7     1    15
  1.5441096185758155E-01 a       166     0     7     1    16
 -2.0685756573765334E-03 a       167     0     7     1    17
 -1.6591581540968543E+00 a       168     0     7     1    18
  4.0741843081331980E-01 a       169     0     7     1    19
  1.7820969951731327E+00 a       170     0     7     1    20
  2.3919348373955837E-01 a       171     0     7     1    21
 -1.2577921391057332E+00 a       172     0     7     1    22
