################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.8805024284658369E-01 a         1     0     1     1     1
  1.5161527998708844E+00 a         2     0     1     1     2
  9.3585482337608561E-01 a         3     0     1     1     3
  1.1692416949869533E+00 a         4     0     1     1     4
 -1.4033889031781888E+00 a         5     0     1     1     5
 -2.3937867447263912E+00 a         6     0     1     1     6
 -1.4685708637587085E+00 a         7     0     1     1     7
  4.8180616815683480E-01 a         8     0     1     1     8
  8.6692547546831833E-01 a         9     0     1     1     9
 -1.1804026379747949E+00 a        10     0     1     1    10
  1.5827830991548977E+00 a        11     0     1     1    11
 -1.7205449891818776E+00 a        12     0     1     1    12
 -1.9151877412809992E+00 a        13     0     1     1    13
  1.6423216584499096E+00 a        14     0     1     1    14
 -4.1581410229285867E-02 a        15     0     1     1    15
 -1.8259835297977522E-01 a        16     0     1     1    16
 -1.5313035238079129E+00 a        17     0     1     1    17
 -1.2700091895264152E+00 a        18     0     1     1    18
  2.4098251512417823E-01 a        19     0     1     1    19
  6.9175736856384906E-01 a        20     0     1     1    20
  2.1921023476714381E-02 a        21     0     1     1    21
  2.0455428711543733E-01 a        22     0     1     1    22
  1.0306914497879698E+00 a        23     0     1     1    23
  9.3943040037029601E-01 a        24     0     1     1    24
  2.2769977803844901E+00 a        25     0     1     1    25
 -1.2817384671322223E+00 a        26     0     2     1     1
 -5.4307296305536801E-01 a        27     0     2     1     2
  1.0374937965087576E+00 a        28     0     2     1     3
  1.0678065561841927E+00 a        29     0     2     1     4
  1.5502027730704402E+00 a        30     0     2     1     5
 -9.3460305884194572E-01 a        31     0     2     1     6
  2.7991508517953987E+00 a        32     0     2     1     7
 -2.6552860600982764E+00 a        33     0     2     1     8
 -2.1604938367433415E+00 a        34     0     2     1     9
  3.1105973269242386E+00 a        35     0     2     1    10
 -1.5603982751342338E+00 a        36     0     2     1    11
 -1.0502242049653807E+00 a        37     0     2     1    12
  6.0631728886416409E+00 a        38     0     2     1    13
 -1.1490315728834819E+00 a        39     0     2     1    14
  4.4232157433844549E-01 a        40     0     2     1    15
  6.5947828677607578E-01 a        41     0     2     1    16
  2.6417844431368542E+00 a        42     0     2     1    17
  1.4984430645710227E+00 a        43     0     2     1    18
  3.2696718766146926E-01 a        44     0     2     1    19
 -2.0047548719638226E+00 a        45     0     2     1    20
 -9.1655662911625330E-02 a        46     0     2     1    21
 -1.8637604963819634E+00 a        47     0     2     1    22
 -1.0285686223820754E+00 a        48     0     2     1    23
 -1.7491011908499876E+00 a        49     0     2     1    24
 -3.1959700956689243E+00 a        50     0     2     1    25
 -5.6582491331536666E-01 a        51     0     3     1     1
 -1.2863419617537755E-01 a        52     0     3     1     2
  3.0784232631594599E+00 a        53     0     3     1     3
 -1.2514666587629761E+00 a        54     0     3     1     4
  6.8829106834530107E-01 a        55     0     3     1     5
  1.7056000223535499E+00 a        56     0     3     1     6
  3.1972367131546209E+00 a        57     0     3     1     7
 -9.1101318824645028E-01 a        58     0     3     1     8
 -9.3844295437233549E-01 a        59     0     3     1     9
  1.0994598978588448E+00 a        60     0     3     1    10
 -5.7754352408736206E-02 a        61     0     3     1    11
 -1.0165132988999659E+00 a        62     0     3     1    12
  2.5717574936867221E-01 a        63     0     3     1    13
 -5.1225139900770100E-01 a        64     0     3     1    14
 -1.4849974168262086E+00 a        65     0     3     1    15
  1.4665053209943537E+00 a        66     0     3     1    16
  6.5994336459146119E-01 a        67     0     3     1    17
  1.3082342257856416E+00 a        68     0     3     1    18
 -1.2418466778809070E-01 a        69     0     3     1    19
  4.8038946766233021E-01 a        70     0     3     1    20
  1.3931033637214938E+00 a        71     0     3     1    21
 -1.2620319424205437E+00 a        72     0     3     1    22
 -7.0803064509602809E-01 a        73     0     3     1    23
  2.4321097556149915E-01 a        74     0     3     1    24
 -1.8509467136571598E+00 a        75     0     3     1    25
  1.5072609033561322E+00 a        76     0     4     1     1
  2.2247008632837684E+00 a        77     0     4     1     2
 -1.1218985148555753E+00 a        78     0     4     1     3
 -3.6415583134205138E+00 a        79     0     4     1     4
 -2.3363047385149525E+00 a        80     0     4     1     5
 -8.8700495444789629E-01 a        81     0     4     1     6
  4.8327634336603387E-01 a        82     0     4     1     7
 -2.8649752150473567E-01 a        83     0     4     1     8
 -1.3202823206432066E+00 a        84     0     4     1     9
 -9.7033165432868018E-01 a        85     0     4     1    10
  1.3736689783529850E+00 a        86     0     4     1    11
 -6.9119989628078138E-01 a        87     0     4     1    12
 -7.1405506018351839E-01 a        88     0     4     1    13
 -8.2733234646674236E-01 a        89     0     4     1    14
  2.3596894010105432E-01 a        90     0     4     1    15
  2.7437731296951897E+00 a        91     0     4     1    16
 -1.1233318349524783E+00 a        92     0     4     1    17
  8.0544982948269062E-01 a        93     0     4     1    18
 -1.3076470886184929E-01 a        94     0     4     1    19
  7.1856865222374899E-01 a        95     0     4     1    20
  6.2063373116997034E-01 a        96     0     4     1    21
 -4.5113800247173613E-01 a        97     0     4     1    22
  9.1728389268236477E-01 a        98     0     4     1    23
 -1.3072295423371427E+00 a        99     0     4     1    24
 -3.7760456093899147E-01 a       100     0     4     1    25
 -6.4833316396688179E-01 a       101     0     5     1     1
 -1.6547092511517911E-01 a       102     0     5     1     2
 -1.4801402536015906E-01 a       103     0     5     1     3
  3.7222415160711975E-01 a       104     0     5     1     4
  1.7079399108212046E-01 a       105     0     5     1     5
  2.8043765724101760E-01 a       106     0     5     1     6
  2.9291983577499359E-01 a       107     0     5     1     7
 -5.7665993514342540E-01 a       108     0     5     1     8
 -7.9243697275557612E-01 a       109     0     5     1     9
  2.1305026494951891E+00 a       110     0     5     1    10
  1.8329789179426012E-01 a       111     0     5     1    11
  7.1470970026240033E-01 a       112     0     5     1    12
 -1.4454688398654674E+00 a       113     0     5     1    13
  5.1737884912725740E-01 a       114     0     5     1    14
 -6.0952060705494304E-01 a       115     0     5     1    15
 -2.5882253330047851E+00 a       116     0     5     1    16
 -6.9789517210323326E-01 a       117     0     5     1    17
  1.3439531847260730E-01 a       118     0     5     1    18
  1.6545487607032869E-01 a       119     0     5     1    19
 -9.1565166729904512E-01 a       120     0     5     1    20
  6.1343653644182694E-01 a       121     0     5     1    21
  4.3341309967512354E-01 a       122     0     5     1    22
