################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.4455577467092061E-01 a         1     0     1     1     1
  2.5504512566938242E+00 a         2     0     1     1     2
  1.3050356288648908E+00 a         3     0     1     1     3
  9.2509584583541726E-01 a         4     0     1     1     4
  1.3188217325026536E-01 a         5     0     1     1     5
  1.6377736265845638E-01 a         6     0     1     1     6
  1.6713801297554158E+00 a         7     0     1     1     7
 -1.5197214766263895E-01 a         8     0     1     1     8
  1.8335976816078703E+00 a         9     0     1     1     9
  5.7357651975639934E-01 a        10     0     1     1    10
  4.1825649682326971E-01 a        11     0     1     1    11
 -7.2086180560347968E-01 a        12     0     1     1    12
 -5.1268939849317996E-01 a        13     0     1     1    13
  7.3975454556825346E-02 a        14     0     1     1    14
  1.6395658206364969E+00 a        15     0     1     1    15
 -7.7764662337312573E-01 a        16     0     1     1    16
  1.9669170460086072E-01 a        17     0     1     1    17
 -1.2461621183759006E+00 a        18     0     1     1    18
 -1.8679807928216843E+00 a        19     0     1     1    19
  2.8413879446178503E-01 a        20     0     1     1    20
 -7.4596982451727079E-01 a        21     0     1     1    21
  1.2547849559322724E+00 a        22     0     1     1    22
  8.5271256349565028E-01 a        23     0     1     1    23
  9.0876388158204979E-01 a        24     0     1     1    24
  9.4931069644838872E-01 a        25     0     1     1    25
 -3.3757370544721694E+00 a        26     0     2     1     1
 -4.1134116802096532E+00 a        27     0     2     1     2
 -3.0721446923773876E+00 a        28     0     2     1     3
 -1.0202160934734772E+00 a        29     0     2     1     4
  9.0494669688674423E-02 a        30     0     2     1     5
  7.2498315391655549E-02 a        31     0     2     1     6
 -2.1420738992418080E+00 a        32     0     2     1     7
  3.5716507513424212E-01 a        33     0     2     1     8
 -2.2165255992338078E+00 a        34     0     2     1     9
 -1.3981262025868998E-01 a        35     0     2     1    10
  4.7256366242395198E-01 a        36     0     2     1    11
  2.8102340237263959E+00 a        37     0     2     1    12
 -1.1702905064294806E+00 a        38     0     2     1    13
 -6.3511707618933877E-02 a        39     0     2     1    14
 -3.0326799888249134E+00 a        40     0     2     1    15
  9.3134988801560148E-01 a        41     0     2     1    16
 -2.4201233860747102E+00 a        42     0     2     1    17
  7.3029437002318542E-01 a        43     0     2     1    18
 -6.6100550324492677E-02 a        44     0     2     1    19
 -1.3155832676806696E+00 a        45     0     2     1    20
  2.2830994802102116E+00 a        46     0     2     1    21
 -2.1220885605697011E+00 a        47     0     2     1    22
 -1.8369076878947626E+00 a        48     0     2     1    23
 -7.9343222649550271E-01 a        49     0     2     1    24
 -1.2204035641930606E+00 a        50     0     2     1    25
 -7.6746279714692800E-01 a        51     0     3     1     1
  7.4256203990212000E-01 a        52     0     3     1     2
  5.8558928733784466E-01 a        53     0     3     1     3
  8.5662730400373266E-01 a        54     0     3     1     4
 -1.4007341662981707E+00 a        55     0     3     1     5
  1.4765260048284257E+00 a        56     0     3     1     6
 -2.9976684588321961E-01 a        57     0     3     1     7
  1.1903479957747192E+00 a        58     0     3     1     8
 -2.1831250538707474E+00 a        59     0     3     1     9
 -3.4070727377914212E-01 a        60     0     3     1    10
  1.5166731352888108E-01 a        61     0     3     1    11
 -2.0124149100412057E+00 a        62     0     3     1    12
 -4.4759084566290108E-01 a        63     0     3     1    13
  1.0689428629349575E-01 a        64     0     3     1    14
 -2.1837792207651994E+00 a        65     0     3     1    15
 -3.2912625360629877E-01 a        66     0     3     1    16
 -1.1604932426859407E+00 a        67     0     3     1    17
  1.2603711870184582E+00 a        68     0     3     1    18
 -3.7762256724142207E-01 a        69     0     3     1    19
 -6.6094663989561842E-01 a        70     0     3     1    20
 -1.5061767495073362E+00 a        71     0     3     1    21
  1.0413245990076414E+00 a        72     0     3     1    22
 -4.2642049776919717E-02 a        73     0     3     1    23
 -1.0532511587905811E+00 a        74     0     3     1    24
 -2.4462907374343940E-01 a        75     0     3     1    25
  7.9989408857280087E-01 a        76     0     4     1     1
  2.5487806258597473E-01 a        77     0     4     1     2
  5.9858382214820238E-01 a        78     0     4     1     3
 -8.6359823299707561E-01 a        79     0     4     1     4
  5.0253517455045804E-01 a        80     0     4     1     5
 -1.5128468586185742E-01 a        81     0     4     1     6
  1.2384385927687763E-01 a        82     0     4     1     7
 -1.2299510605375381E+00 a        83     0     4     1     8
 -4.9722409430221615E-01 a        84     0     4     1     9
  8.4287083914518868E-01 a        85     0     4     1    10
  1.9141982106770150E+00 a        86     0     4     1    11
 -3.4230429015828311E-02 a        87     0     4     1    12
  8.9867680037465747E-01 a        88     0     4     1    13
 -9.6849911688041812E-01 a        89     0     4     1    14
 -1.1291983258777196E+00 a        90     0     4     1    15
  8.4039592263310559E-01 a        91     0     4     1    16
  1.0037786275068352E+00 a        92     0     4     1    17
 -5.5957027910938928E-01 a        93     0     4     1    18
 -7.8122157089824129E-01 a        94     0     4     1    19
  5.3110679926119542E-01 a        95     0     4     1    20
 -1.3036852152894525E+00 a        96     0     4     1    21
  1.3133198823607077E+00 a        97     0     4     1    22
 -1.7847519112226473E+00 a        98     0     4     1    23
  2.0049838120979233E+00 a        99     0     4     1    24
  6.7645570661936560E-01 a       100     0     4     1    25
  2.4443006606324241E-01 a       101     0     5     1     1
  1.2228820636308266E+00 a       102     0     5     1     2
 -3.4414098840263196E-01 a       103     0     5     1     3
 -8.4830481459523231E-03 a       104     0     5     1     4
 -3.9561259772634189E-01 a       105     0     5     1     5
  5.1775934488949515E-01 a       106     0     5     1     6
  1.3553222371586598E-01 a       107     0     5     1     7
 -4.7294327372138267E-01 a       108     0     5     1     8
  2.2286887813913298E-01 a       109     0     5     1     9
 -6.6133744953596063E-01 a       110     0     5     1    10
  4.6683046685754787E-01 a       111     0     5     1    11
  5.4538672509665764E-01 a       112     0     5     1    12
  1.7314016655488970E-01 a       113     0     5     1    13
  3.9150181549980484E-01 a       114     0     5     1    14
  9.9959099215158398E-01 a       115     0     5     1    15
 -6.8464310698322789E-03 a       116     0     5     1    16
  3.8137664817679368E-01 a       117     0     5     1    17
 -1.1441960732843341E-01 a       118     0     5     1    18
 -2.7746618260768813E-01 a       119     0     5     1    19
 -1.1191947736325205E+00 a       120     0     5     1    20
 -7.5350285399754149E-02 a       121     0     5     1    21
 -1.0260153734679080E-01 a       122     0     5     1    22
  6.6571103326938025E-02 a       123     0     5     1    23
 -7.6447552785012063E-01 a       124     0     5     1    24
  1.2598575435799281E-01 a       125     0     5     1    25
 -2.4523283383694605E+00 a       126     0     6     1     1
  8.0203894427425060E-01 a       127     0     6     1     2
 -5.4141018603419251E-02 a       128     0     6     1     3
 -1.4260545138807215E+00 a       129     0     6     1     4
  1.9630554723524678E+00 a       130     0     6     1     5
 -4.5848541043169675E+00 a       131     0     6     1     6
 -1.8106514486952814E+00 a       132     0     6     1     7
  3.3908862201419510E-01 a       133     0     6     1     8
  4.9997242588361441E+00 a       134     0     6     1     9
  1.0510702876266178E+00 a       135     0     6     1    10
 -1.4384279983032582E+00 a       136     0     6     1    11
  3.5117127720047923E+00 a       137     0     6     1    12
 -4.4871862136439639E-01 a       138     0     6     1    13
  9.9089054067847882E-01 a       139     0     6     1    14
  4.8355392291397408E+00 a       140     0     6     1    15
  1.7019506751233320E+00 a       141     0     6     1    16
  9.6458846190816794E-01 a       142     0     6     1    17
 -1.7579279515045787E+00 a       143     0     6     1    18
 -8.0630404394610644E-01 a       144     0     6     1    19
  1.7949642865040005E+00 a       145     0     6     1    20
