################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.7341679890663768E-01 a         1     0     1     1     1
 -1.9061793258708501E+00 a         2     0     1     1     2
 -1.3783113780313887E+00 a         3     0     1     1     3
 -9.3381178880589355E-01 a         4     0     1     1     4
 -1.8411622421607368E+00 a         5     0     1     1     5
 -6.8054413986000140E-01 a         6     0     1     1     6
 -7.2242234964660168E-01 a         7     0     1     1     7
  1.7329633843654937E-01 a         8     0     1     1     8
 -1.3239137087020452E+00 a         9     0     1     1     9
  2.2290901114562627E+00 a        10     0     1     1    10
 -2.1195509232900020E-02 a        11     0     1     1    11
  1.1332607970236044E+00 a        12     0     1     1    12
 -4.7964983246654236E-01 a        13     0     1     1    13
  7.1471927546688396E-01 a        14     0     1     1    14
 -9.2545896344497403E-01 a        15     0     1     1    15
  5.0652276545137964E-01 a        16     0     1     1    16
 -1.8557217546789944E+00 a        17     0     1     1    17
  7.2504714227810574E-01 a        18     0     1     1    18
  8.3730941169591533E-01 a        19     0     1     1    19
 -1.7201359762347563E+00 a        20     0     1     1    20
 -4.2392775033369257E-01 a        21     0     1     1    21
 -1.2714767495379595E-01 a        22     0     1     1    22
 -1.8246421545668373E-01 a        23     0     1     1    23
 -1.4181931583576257E+00 a        24     0     1     1    24
 -5.2832472176117673E-01 a        25     0     1     1    25
  9.0288815355972307E-01 a        26     0     2     1     1
  2.5955972102399167E+00 a        27     0     2     1     2
  8.9201478550812041E-01 a        28     0     2     1     3
 -7.1789056218261593E-01 a        29     0     2     1     4
  8.1085827556352885E-01 a        30     0     2     1     5
 -1.5482040919205811E-01 a        31     0     2     1     6
 -2.3410932376299506E-01 a        32     0     2     1     7
  3.5869505871844914E-01 a        33     0     2     1     8
  1.8232311045974927E+00 a        34     0     2     1     9
  1.5124230117835598E+00 a        35     0     2     1    10
 -1.1759808339025224E+00 a        36     0     2     1    11
 -7.2881449377984464E-01 a        37     0     2     1    12
 -2.6371246673166548E+00 a        38     0     2     1    13
  1.5195958582835267E+00 a        39     0     2     1    14
 -4.3453393752013030E+00 a        40     0     2     1    15
 -1.9372901347441021E+00 a        41     0     2     1    16
 -1.2034839088269977E+00 a        42     0     2     1    17
  6.8891015094015240E-01 a        43     0     2     1    18
 -1.7366208610717504E+00 a        44     0     2     1    19
